listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
196586,Spacious 2BR Apartment on Ocean,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1666307/0412927a_original.jpg,53,957410,Pierre,"","",false,16.8531,-99.8578,6,2,5,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Paid parking off premises,Smoking allowed,Ceiling fan,Elevator,Free street parking,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Sound system,Baby safety gates,Blender,Window guards,Crib,Room-darkening shades,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",true,false,3,Moderate,MXN,35,0,261,4.89,5.0,4.9,4.8,4.9,5.0,4.8,9465.0,194384.0,122.1,2437.4,0.222,0.336,25.9,532.6,39.3,806.6,81,124,284,365,0.0,0.0,129.7,2520.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
325626,2 bedroom apartment on the ground floor in Punta Diamante.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-325626/original/82803445-ef65-45cd-8aac-dda55b9c65be.jpeg,31,1665426,Arturo,"","",true,16.7715,-99.7610,6,2,4,1.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Lake access,Pool,Kitchen,Free parking on premises,Room-darkening shades,Children’s dinnerware,Pets allowed,Hot water,Mini fridge,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Outdoor furniture,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,BBQ grill,Patio or balcony,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Hangers,Dining table,Iron,Baking sheet,Barbecue utensils,Outdoor dining area,Freezer,Outdoor kitchen,Sound system",false,false,2,Flexible,MXN,32,0,95,4.79,4.8,4.9,4.6,5.0,4.9,4.8,5051.0,101584.0,75.9,1515.2,0.189,0.0,13.8,278.3,0.0,0.0,69,0,296,365,364.0,7075.0,79.4,1543.0,0.056,0.0,4.0,78.6,0.0,0.0,5,0,85,90
508421,Luxurious & brand new appart,Entire condo,entire_home,https://a0.muscache.com/im/pictures/6090743/7ab361f5_original.jpg,79,2505603,Jose,"","",false,16.7825,-99.7936,8,3,5,3.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Hot water,Iron,Gym,Bed linens,Hot tub",true,,3,Moderate,MXN,0,0,66,4.95,4.9,5.0,4.7,4.9,4.9,4.9,4147.0,83938.0,201.4,4022.7,0.058,0.0,11.4,230.0,0.0,0.0,21,0,344,365,0.0,0.0,212.5,4130.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
582367,"VillaParaísoAca Beautiful view Cook, Maid included",Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-582367/original/6545f1de-8d20-430d-87c0-44d8957e04cf.jpeg,59,2863697,Judith,"","",true,16.8712,-99.9374,14,6,9,5.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Pets allowed,Hot water,Body soap,Conditioner,Bed linens,Extra pillows and blankets,Hot tub,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Clothing storage,Washer,Dryer,Beach access,Shower gel,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,false,2,Firm,MXN,0,0,32,4.77,4.8,4.7,4.7,4.9,4.7,4.6,16747.0,339213.0,223.9,4492.1,0.173,0.0,45.9,929.4,0.0,0.0,63,0,302,365,1386.0,26942.0,178.8,3475.9,0.078,0.0,15.4,299.4,0.0,0.0,7,0,83,90
612998,Condominum Acapulco Diamante beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7764076/1823f382_original.jpg,30,2957358,Daniel,"","",false,16.7604,-99.7768,4,1,1,1.0,false,"TV,Cable TV,Blender,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Pool table,Portable fans,Hot water,Gym,Resort access,Elevator,Bed linens,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Dryer,Beach access,Exercise equipment,Patio or balcony,Essentials,Dining table,Baking sheet,Barbecue utensils,Outdoor dining area,Bread maker,Private entrance,Toaster",false,,3,Moderate,MXN,45,0,56,4.48,4.5,4.7,4.4,4.3,4.8,4.5,1001.0,20452.0,90.5,1809.7,0.03,0.0,2.7,56.0,0.0,0.0,11,0,354,365,0.0,0.0,87.0,1691.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
663631,Casa del Sol in Acapulco,Entire home,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-663631/original/1857d6ac-2b75-446e-8731-534db607e7d2.jpeg,48,3207146,Carmen Y Javier,"","",false,16.8315,-99.9149,7,3,6,2.0,false,"Wifi,Pool,Crib,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,First aid kit,Fire extinguisher,Essentials,Shampoo,Cleaning before checkout,Hangers,Dedicated workspace,Toaster",false,,2,Flexible,MXN,28,0,46,4.43,4.6,4.8,4.5,4.7,4.6,4.5,10086.0,202531.0,220.0,4402.4,0.123,0.0,27.6,554.9,0.0,0.0,45,0,320,365,2272.0,44164.0,206.4,4013.0,0.122,0.0,25.2,490.7,0.0,0.0,11,0,79,90
663776,Casa del Viento in Acapulco,Entire loft,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-663776/original/67418e74-f43b-4182-9042-164d48533f45.jpeg,23,3207146,Carmen Y Javier,"","",false,16.8315,-99.9149,4,2,3,1.0,false,"Stove,BBQ grill,Wifi,First aid kit,Pool,Kitchen,Essentials,Free parking on premises,Smoking allowed,Pets allowed,Hangers,Hot water,Dedicated workspace,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics",false,,2,Moderate,MXN,17,0,62,4.79,4.8,4.9,4.7,4.9,4.8,4.8,7535.0,152021.0,145.8,2913.7,0.14,0.0,20.6,416.5,0.0,0.0,51,0,314,365,1586.0,30830.0,145.4,2827.3,0.122,0.0,17.6,342.6,0.0,0.0,11,0,79,90
663878,Casa de la Tierra in Acapulco with A/C,Entire condo,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-663878/original/ea2ceb7f-b279-4e31-a307-35b22bc35edc.jpeg,22,3207146,Carmen Y Javier,"","",false,16.8319,-99.9153,2,2,2,1.0,false,"BBQ grill,Wifi,Air conditioning,First aid kit,Pool,Kitchen,Essentials,Free parking on premises,Room-darkening shades,Pets allowed,Hangers,Hot water,Dedicated workspace,Bed linens,Extra pillows and blankets,Dishes and silverware,Cooking basics,Clothing storage",false,,2,Flexible,MXN,0,0,85,4.62,4.8,4.8,4.7,4.8,4.8,4.6,5571.0,112135.0,106.0,2118.2,0.14,0.152,15.3,307.2,16.6,333.7,51,29,314,365,102.0,1983.0,102.9,1999.5,0.011,0.0,1.1,22.0,0.0,0.0,1,0,89,90
727875,Casa Obelisk,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-727875/original/8ebf46e9-7013-4b09-b53a-6b131f7644f6.png,17,17790862,Mariana,"1537061,36149127","Enrique,Gabriel",true,16.8234,-99.8586,16,7,13,7.0,false,"TV,Washer,Cable TV,Dryer,Wifi,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Shampoo,Smoking allowed,Gym,Hot tub,Cooking basics",false,false,3,Firm,MXN,196,0,12,4.92,4.8,4.8,4.8,4.9,4.9,4.8,154991.0,3125102.0,1096.4,21919.3,0.386,0.0,424.6,8561.9,0.0,0.0,141,0,224,365,16764.0,325876.0,1070.0,20799.0,0.178,0.0,186.3,3620.8,0.0,0.0,16,0,74,90
902708,"Perfect for families, comfortable, 24-hour security",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/89091007-2897-4b95-868a-5e115c6f2dce.jpg,26,4824876,Sara,"","",false,16.7775,-99.7922,6,2,7,1.5,false,"Air conditioning,Pool,Kitchen,Free parking on premises,Children’s dinnerware,Hot water,Elevator,Free street parking,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Patio or balcony,Backyard,Essentials,Long term stays allowed,Hangers,Dedicated workspace",false,false,3,Firm,MXN,18,0,74,4.64,4.8,4.7,4.7,4.6,4.9,4.7,3939.0,78772.0,117.3,2348.4,0.093,0.0,10.8,215.8,0.0,0.0,34,0,331,365,232.0,4510.0,109.9,2135.5,0.022,0.0,2.6,50.1,0.0,0.0,2,0,88,90
