listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
3467617,Cabaña Ecotucan,Room in nature lodge,hotel_room,https://a0.muscache.com/im/pictures/ce80bd4b-93d8-41f0-9680-16237cf0acca.jpg?aki_policy=medium,3,17470525,,"","",false,18.7398,-88.3447,4,1,2,1.0,,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Breakfast,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Children’s books and toys,Hot water,Body soap,Bed linens,Patio or balcony,Backyard,Luggage dropoff allowed,Cleaning before checkout,Lake access,Kayak,Mosquito net,Portable fans,Drying rack for clothing",,,1,Flexible,MXN,,,469,4.58,4.6,4.7,4.6,4.6,4.6,4.5,5559.0,113551.0,111.5,2268.9,0.137,0.148,15.2,311.1,16.5,336.9,50,28,315,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
3622787,Lagoon Front Palafito on the lagoon @yayumbacalar,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3622787/original/b8ac5880-a73f-4d80-8644-bf6413f55df8.jpeg,27,17841386,Karla,"22539072,91432563","Karla,Charlotte",true,18.6877,-88.3870,2,1,1,1.0,false,"Beach access,Wifi,Carbon monoxide alarm,Patio or balcony,Air conditioning,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Free parking on premises,Shampoo,Hangers,Hot water,Free street parking,Private entrance,Coffee maker,Refrigerator",true,false,1,Strict,MXN,18,0,721,4.9,4.9,4.9,4.8,4.9,4.9,4.8,35667.0,718580.0,187.3,3753.2,0.512,0.515,97.7,1968.7,98.3,1979.6,187,2,178,365,5944.0,115547.0,166.5,3235.7,0.4,0.0,66.0,1283.9,0.0,0.0,36,0,54,90
3711956,Suite on Av Costera across the street of Cenote,Entire loft,entire_home,https://a0.muscache.com/im/pictures/640109aa-be4d-4969-80ae-29016678c1a2.jpg,38,18941426,Luis,"","",false,18.6678,-88.3957,4,1,2,1.0,false,"Window guards,Wifi,Air conditioning,Lake access,Kitchen,Room-darkening shades,Children’s dinnerware,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Single level home,Smoke alarm,Patio or balcony,Backyard,Beach essentials,Essentials,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Dedicated workspace,Private entrance",false,false,2,Flexible,MXN,10,0,183,4.81,4.8,4.9,4.7,5.0,4.7,4.7,11465.0,231064.0,66.5,1327.5,0.474,0.0,31.4,633.1,0.0,0.0,173,0,192,365,1777.0,34543.0,69.9,1358.1,0.267,0.0,19.7,383.8,0.0,0.0,24,0,66,90
7534251,Aluxes Bacalar H6 Double,Room in hotel,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-7534251/original/b5c55359-4efc-4ce5-8621-4afde858b54d.jpeg,36,51321114,Gesu,39471892,Gesu,false,18.6598,-88.4015,4,1,2,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Lake access,Pool,Free parking on premises,Ceiling fan,Resort access,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Hammock,Cleaning products,Clothing storage,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Kayak,Hair dryer,Iron,Dedicated workspace,Private entrance,Changing table,High chair,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Pocket wifi,Coffee maker,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Sun loungers",true,false,1,Flexible,MXN,0,0,28,4.79,4.9,4.9,4.8,4.7,4.9,4.6,16019.0,321425.0,192.5,3844.7,0.23,0.0,43.9,880.6,0.0,0.0,84,0,281,365,3307.0,64284.0,189.7,3687.8,0.189,0.0,36.7,714.3,0.0,0.0,17,0,73,90
9046804,Aluxes Bacalar H 1 Junior with Jacuzzi,Room in hotel,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-9046804/original/b72a65e1-39b1-4a9b-8528-e4aabf7d8eb7.jpeg,34,51321114,Gesu,39471892,Gesu,false,18.6592,-88.4086,2,1,1,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Lake access,Free parking on premises,Smoking allowed,Ceiling fan,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Boat slip,Hot tub,Hammock,Cleaning products,Coffee,Clothing storage,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Kayak,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Bathtub,Room-darkening shades,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Pocket wifi,Coffee maker,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Sun loungers",true,,1,Moderate,MXN,0,0,3,4.0,4.3,3.3,3.7,2.7,4.3,2.3,9932.0,198939.0,201.1,4025.9,0.137,0.14,27.2,545.0,27.7,555.7,50,7,315,365,2175.0,42278.0,177.5,3449.5,0.133,0.0,24.2,469.8,0.0,0.0,12,0,78,90
10615778,Private bungalow on the lagoon - Yayum Bacalar,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-10615778/original/bd2eb3a6-0cb1-49ae-be84-2649635f4b0b.jpeg,21,17841386,Karla,"22539072,91432563","Karla,Charlotte",true,18.6874,-88.3873,2,1,1,1.0,false,"Beach access,Wifi,Carbon monoxide alarm,Patio or balcony,Air conditioning,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Free parking on premises,Shampoo,Hot water,Free street parking,Private entrance,Coffee maker,Refrigerator",true,false,1,Strict,MXN,18,0,448,4.84,4.9,4.9,4.8,4.9,4.9,4.7,23128.0,468427.0,141.3,2833.0,0.43,0.0,63.4,1283.4,0.0,0.0,157,0,208,365,2536.0,49297.0,119.3,2318.8,0.244,0.0,28.2,547.7,0.0,0.0,22,0,68,90
10910606,Comfort Room + Breakfast - Ade Hotel Bacalar,Room in hotel,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA5MTA2MDY=/original/7fabeb54-1759-41fb-a611-2417beeaf66e.jpeg,99,51319675,Alejandro,"","",false,18.6860,-88.3882,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Lake access,Pool,Free parking on premises,Room-darkening shades,Smoking allowed,Ceiling fan,Body soap,Breakfast,Mosquito net,Bed linens,Extra pillows and blankets,Laundromat nearby,Pocket wifi,Outdoor furniture,Hammock,Cleaning products,Refrigerator,Beach access,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Dedicated workspace,Outdoor dining area,Freezer,Private entrance",true,false,1,Moderate,MXN,0,0,502,4.56,4.7,4.8,4.8,4.6,4.6,4.6,3232.0,65357.0,63.5,1273.3,0.126,0.0,8.9,179.1,0.0,0.0,46,0,319,365,348.0,6765.0,47.9,931.4,0.067,0.0,3.9,75.2,0.0,0.0,6,0,84,90
11294009,"Sweethome Bacalar
House in the lagoon",Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-11294009/original/b6b5fa70-4791-4da8-9725-edc7dbd89303.jpeg,52,57205637,Juan,515122403,Chema,false,18.6572,-88.4060,10,2,5,2.0,false,"TV,Cable TV,Blender,Wifi,Waterfront,Air conditioning,Lake access,Pool,Kitchen,Free parking on premises,Ceiling fan,Pets allowed,Hot water,Mosquito net,Bed linens,Outdoor furniture,Microwave,Hammock,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Shampoo,Cleaning before checkout,Hangers,Kayak,Hair dryer,Iron,Outdoor dining area,Private entrance",true,false,2,Firm,MXN,26,0,479,4.8,4.8,4.9,4.7,4.9,4.9,4.7,67367.0,1348531.0,274.5,5489.3,0.668,0.0,184.6,3694.6,0.0,0.0,244,0,121,365,14014.0,272420.0,277.6,5396.3,0.556,0.0,155.7,3026.9,0.0,0.0,50,0,40,90
11377063,Bacalar Terrace Suite,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e9d972b7-1442-4f0e-a297-a5b836c8dd4a.jpg,11,59643635,Anna,"","",false,18.6786,-88.3886,4,2,2,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Pets allowed,Hot water,Free street parking,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Hangers",true,false,1,Moderate,MXN,0,0,250,4.53,4.6,4.8,4.6,4.7,4.8,4.5,9379.0,188563.0,87.8,1757.5,0.296,0.31,25.7,516.6,27.0,541.8,108,17,257,365,1680.0,32659.0,81.5,1584.7,0.222,0.0,18.7,362.9,0.0,0.0,20,0,70,90
12485479,Casa Esmeralda de Bacalar Lakefront total property,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-12485479/original/ee124581-92f0-4b44-b449-05ac6ac9b7bb.jpeg,52,4981459,Michele,84265084,Kelly,false,18.6571,-88.4064,5,2,3,2.0,false,"TV,Wifi,Waterfront,Air conditioning,Lake access,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Pets allowed,Conditioner,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Boat slip,Hammock,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Kayak,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Blender,Window guards,Hot water,Body soap,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Dining table,Toaster",false,false,1,Moderate,MXN,62,0,178,4.7,4.8,4.9,4.6,4.9,4.9,4.7,36486.0,735737.0,188.4,3763.7,0.529,0.0,100.0,2015.7,0.0,0.0,193,0,172,365,10012.0,194621.0,191.8,3728.4,0.578,0.0,111.2,2162.5,0.0,0.0,52,0,38,90
