listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
192650,Luxury 2Bdrm/3Bath directly on Medano Beach!,Entire villa,entire_home,https://a0.muscache.com/im/pictures/345ab806-f691-42f0-8946-a1174559511d.jpg,82,933352,Evan Leigh,"","",false,22.8941,-109.8981,8,2,5,2.5,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Gym,Resort access,Conditioner,Mini fridge,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Toaster",false,false,2,Moderate,MXN,215,0,108,4.96,5.0,4.9,4.9,5.0,5.0,4.9,69157.0,1413349.0,540.5,10826.2,0.326,0.0,189.5,3872.2,0.0,0.0,119,0,246,365,1964.0,38178.0,467.2,9081.3,0.044,0.0,21.8,424.2,0.0,0.0,4,0,86,90
321961,Great located apartment in Cabo,Entire condo,entire_home,https://a0.muscache.com/im/pictures/eb82fbfd-82bb-4c8a-b216-64534406e761.jpg,33,1648738,Alejandra,397865010,Bettyna,true,22.8949,-109.9067,4,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,Essentials,Hangers,Hair dryer,Iron,Outdoor dining area,Private entrance,Blender,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Toaster",true,false,3,Moderate,MXN,30,0,334,4.8,4.9,4.9,4.8,5.0,4.8,4.8,19111.0,383418.0,58.8,1178.5,0.885,0.89,52.4,1050.5,52.6,1056.2,323,2,42,365,3922.0,76243.0,53.2,1033.4,0.822,0.841,43.6,847.1,44.6,866.4,74,2,16,90
374206,Casa Theodore--Luxury Villa Rental,Entire villa,entire_home,https://a0.muscache.com/im/pictures/40ea104c-594d-4e87-b1ff-2fdd97ff6d7e.jpg,122,1882623,Michael,"","",false,22.8749,-109.9195,16,11,14,11.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Free street parking,Hot tub,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Crib,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Baking sheet,Barbecue utensils",false,false,3,Strict,MXN,679,0,18,4.78,4.9,4.9,5.0,4.9,5.0,4.8,207712.0,4162693.0,3934.0,78734.8,0.142,0.0,569.1,11404.6,0.0,0.0,52,0,313,365,55061.0,1070335.0,3477.4,67596.9,0.167,0.0,611.8,11892.6,0.0,0.0,15,0,75,90
702519,1 Studio Perfect to visit Los Cabos,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-702519/original/4c0b9f96-33ca-4c65-913d-b9b9aab46c61.jpeg,45,3606234,Yael,"","",true,22.8886,-109.9121,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Books and reading material,Ceiling fan,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Room-darkening shades,Hot water,Body soap,Mosquito net,Bed linens,Pocket wifi,Coffee maker,Dishes and silverware,Cooking basics,Stove,BBQ grill,Patio or balcony,Backyard,Beach essentials,Long term stays allowed",false,false,1,Flexible,MXN,13,0,266,4.78,4.8,4.9,4.8,5.0,4.9,4.8,6288.0,128476.0,58.4,1163.4,0.315,0.0,17.2,352.0,0.0,0.0,115,0,250,365,588.0,11430.0,68.9,1340.0,0.1,0.0,6.5,127.0,0.0,0.0,9,0,81,90
706481,Ocean View 4BR Mexican Chic Villa-Steps to Beach,Entire villa,entire_home,https://a0.muscache.com/im/pictures/80c51634-5b62-4afa-a1ae-cc2318c1f76e.jpg,79,3631190,Suzanne,2024667,Adam,true,22.8754,-109.9237,10,4,6,3.5,false,"TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Books and reading material,Ceiling fan,Pets allowed,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Kayak,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Rice maker,High chair,Baby safety gates,Children’s books and toys,Blender,Babysitter recommendations,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",false,false,3,Flexible,MXN,100,0,189,4.84,4.9,4.9,4.8,4.9,4.9,4.8,71358.0,1430941.0,573.6,11499.5,0.345,0.364,195.5,3920.4,206.2,4135.7,126,19,239,365,7076.0,137549.0,508.9,9893.0,0.167,0.211,78.6,1528.3,99.7,1937.3,15,19,75,90
825975,Casa De Las Olas - House Downtown Cabo (Casa De Las Olas - Casa en el centro de Cabo),Entire home,entire_home,https://a0.muscache.com/im/pictures/43b77d22-fb52-44f4-9a4b-89fc854ea0f4.jpg,14,1563006,Lara,"","",true,22.8822,-109.9153,3,1,3,1.0,false,"Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Books and reading material,Pets allowed,Hot water,Body soap,Resort access,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Hammock,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Beach access,BBQ grill,Carbon monoxide alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Freezer,Private entrance",true,false,1,Flexible,MXN,25,0,120,4.86,4.9,5.0,4.8,4.9,4.9,4.8,6135.0,125869.0,85.3,1706.8,0.186,0.36,16.8,344.8,32.5,666.0,68,176,297,365,0.0,0.0,75.2,1460.9,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
826048,Casita Chulita/Studio downtown Cabo,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/5102928f-87bd-41ce-89ee-cc4a16a9b715.jpg,10,1563006,Lara,293972782,Martin,true,22.8833,-109.9147,2,,1,1.0,false,"Wifi,Air conditioning,Free parking on premises,Portable fans,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Hammock,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Beach access,Backyard,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Freezer,Private entrance",true,false,1,Flexible,MXN,20,0,297,4.83,4.8,4.9,4.8,4.9,4.9,4.8,3236.0,65578.0,57.5,1150.3,0.148,0.193,8.9,179.7,11.6,234.2,54,85,311,365,686.0,13335.0,55.6,1081.7,0.111,0.196,7.6,148.2,13.5,261.5,10,39,80,90
916537,Beautiful Marina View+Pool+Wi-Fi,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-916537/original/33ce7aff-32cc-4a22-bcd6-67f59d7a8c41.jpeg,32,4920539,Damiana,149248552,Cristina,false,22.8843,-109.9088,3,1,1,1.0,false,"TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Paid parking off premises,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Private entrance,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Patio or balcony,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Sun loungers,Toaster",false,false,1,Firm,MXN,41,0,266,4.81,4.9,4.9,4.9,4.9,4.9,4.8,28756.0,579766.0,126.4,2525.5,0.622,0.0,78.8,1588.4,0.0,0.0,227,0,138,365,3532.0,68657.0,124.7,2423.6,0.311,0.0,39.2,762.9,0.0,0.0,28,0,62,90
999148,Cape Missions - Casa Noelle,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-999148/original/3f88cba2-d41f-453f-837e-31841a103134.jpeg,28,5479904,⁨Walter (Edwin)⁩,"","",true,22.8963,-109.8663,4,2,2,2.0,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Pets allowed,Hot water,Gym,Elevator,Free street parking,Refrigerator,Washer,Dryer,Beach access,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Hair dryer",true,false,5,Firm,MXN,75,0,11,4.64,4.6,5.0,4.6,4.7,4.9,4.6,25084.0,509380.0,169.9,3400.0,0.392,0.394,68.7,1395.6,69.1,1403.3,143,2,222,365,730.0,14190.0,162.5,3158.8,0.044,0.0,8.1,157.7,0.0,0.0,4,0,86,90
1032473,Casa de Francis Two Bedroom Junior Penthouse,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1032473/original/6af9e777-0266-4f92-8140-66fcac9f854a.jpeg,36,5479904,⁨Walter (Edwin)⁩,"","",true,22.8974,-109.8677,4,2,2,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Gym,Record player,Free street parking,Cleaning products,Wine glasses,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Baby bath,High chair,Crib,Hot water,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Luggage dropoff allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",false,,6,Firm,MXN,45,0,2,,,,,,,,4301.0,88846.0,189.8,3796.6,0.06,0.084,11.8,243.4,16.5,340.4,22,104,343,365,0.0,0.0,181.9,3536.9,0.0,0.0,0.0,0.0,0.0,0.0,0,58,90,90
