listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
82460,CANCUN GUEST HOUSE,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/eefe0cce-fa8a-49c8-8a41-bc895fec64b0.jpg,23,448818,Cancun Guest House,"","",false,21.1658,-86.8285,2,1,1,1.0,false,"Wifi,Air conditioning,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Smoke alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Private entrance",true,,1,Moderate,MXN,7,0,641,4.76,4.8,4.9,4.8,4.9,4.8,4.8,1131.0,22978.0,27.2,544.6,0.11,0.115,3.1,63.0,3.3,66.2,40,18,325,365,0.0,0.0,27.2,528.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
85056,Cancun downtown studio NOPAL,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/c85b817c-e9ed-4337-9396-a33d13f9818f.jpg,40,448818,Cancun Guest House,"","",false,21.1658,-86.8285,4,1,3,1.0,false,"Wifi,Air conditioning,Kitchen,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Dedicated workspace,Private entrance",true,false,1,Moderate,MXN,8,0,633,4.71,4.8,4.9,4.8,4.9,4.7,4.8,4573.0,93059.0,33.4,669.0,0.359,0.437,12.5,255.0,15.2,310.2,131,65,234,365,572.0,11120.0,28.2,548.0,0.222,0.339,6.4,123.6,9.7,188.5,20,31,70,90
86722,"Private Hotel Zone, Wifi, Beach, Pool, Kitchen, TV",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/17199225/c43cd9e4_original.jpg,42,475399,Abel,"","",false,21.0456,-86.7826,4,1,1,1.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Pool,Crib,Pack ’n play/Travel crib,Free parking on premises,Ceiling fan,Hot water,Body soap,Conditioner,Outdoor shower,Elevator,Free street parking,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Beach access,Backyard,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sun loungers,Toaster",false,,4,Strict,MXN,0,0,110,4.7,4.7,4.7,4.6,4.8,4.8,4.7,6793.0,138717.0,81.0,1616.2,0.233,0.243,18.6,380.0,19.4,396.3,85,15,280,365,168.0,3265.0,102.0,1983.2,0.033,0.04,1.9,36.3,2.2,43.5,3,15,87,90
132724,Cancún beach resort studio garden side,Private room in resort,private_room,https://a0.muscache.com/im/pictures/5ef8262f-4e05-46ea-a530-ec1bc1ae8d34.jpg,27,481799,Michelle,"","",true,21.0507,-86.7821,4,,2,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Resort access,Conditioner,Mini fridge,Elevator,Laundromat nearby,Outdoor furniture,Coffee,Clothing storage,Wine glasses,Beach access,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Sun loungers,Toaster",,,2,Flexible,MXN,29,,154,4.69,4.8,4.8,4.7,4.9,4.7,4.7,2618.0,54023.0,93.9,1911.5,0.074,0.075,7.2,148.0,7.3,150.1,27,5,338,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
133047,Cancun ECO- apartment & swimming pool,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/3329563/932e60d0_original.jpg,63,653512,Gaby,"","",true,21.1453,-86.8455,3,2,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Smoking allowed,Ceiling fan,Pets allowed,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Coffee,Clothing storage,Wine glasses,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Children’s books and toys,Room-darkening shades,Hot water,Bed linens,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Sun loungers,Toaster",true,false,1,Strict,MXN,10,0,653,4.91,4.9,5.0,4.9,5.0,4.7,4.9,8117.0,162253.0,51.7,1032.4,0.427,0.432,22.2,444.5,22.5,449.5,156,4,209,365,2120.0,41215.0,49.6,964.2,0.467,0.488,23.6,457.9,24.7,479.2,42,4,48,90
133063,Solymar beach resort condo  ~ lagoon view 2101,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-133063/original/9fe3931f-62c6-456e-904c-b601453be8fd.jpg,34,481799,Michelle,"","",true,21.0525,-86.7826,2,,1,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Resort access,Conditioner,Mini fridge,Elevator,Laundromat nearby,Outdoor furniture,Coffee,Clothing storage,Wine glasses,Beach access,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Outdoor playground,Toaster",true,,3,Flexible,MXN,0,0,144,4.66,4.8,4.9,4.9,4.8,4.8,4.7,6690.0,132895.0,105.8,2114.4,0.173,0.209,18.3,364.1,22.2,440.0,63,63,302,365,2508.0,48754.0,104.9,2039.0,0.267,0.0,27.9,541.7,0.0,0.0,24,0,66,90
137979,Beach Front condo in Cancun !,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6efa595d-fc0e-407d-a2cb-9ac6966f45c4.jpg,9,696715,Carmen,149001391,Rosa Irene,false,21.1314,-86.8906,4,1,2,1.0,false,"TV,Washer,Cable TV,Dryer,Wifi,Patio or balcony,Air conditioning,Pool,Essentials,Free parking on premises,Smoking allowed,Hot water,Elevator,Microwave,Coffee maker,Refrigerator",false,,2,Moderate,MXN,0,0,49,4.53,4.3,4.7,4.4,4.8,4.7,4.5,1987.0,39783.0,110.8,2216.0,0.049,0.0,5.4,109.0,0.0,0.0,18,0,347,365,1013.0,19692.0,110.1,2139.8,0.1,0.0,11.3,218.8,0.0,0.0,9,0,81,90
190126,Cancun downtown room SOL,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/87a4ea84-48fa-4e58-99ed-d793c1306e95.jpg,19,448818,Cancun Guest House,"","",false,21.1658,-86.8285,2,1,1,1.0,false,"Single level home,Wifi,Patio or balcony,Air conditioning,Backyard,Luggage dropoff allowed,Essentials,Shampoo,Hot water kettle,Hangers,Hot water,Dedicated workspace,Mini fridge,Free street parking,Outdoor furniture,Private entrance,Toaster,Dishes and silverware,Clothing storage",true,false,1,Moderate,MXN,7,0,797,4.72,4.8,4.9,4.8,4.9,4.7,4.8,3023.0,60868.0,30.5,610.7,0.285,0.294,8.3,166.8,8.5,171.9,104,11,261,365,614.0,11935.0,27.3,531.4,0.256,0.0,6.8,132.6,0.0,0.0,23,0,67,90
220674,Luxurious Suite in the Cancun Hotel Zone,Private room in villa,private_room,https://a0.muscache.com/im/pictures/2238954/5669103b_original.jpg,50,988806,Carmen And Eli,"","",true,21.1444,-86.7899,,,2,0.0,false,"TV,Wifi,Waterfront,Air conditioning,Lake access,Pool,Kitchen,Free parking on premises,Ceiling fan,Pets allowed,Conditioner,Mini fridge,Free street parking,Outdoor furniture,Boat slip,Hot tub,Cleaning products,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Baby monitor,Bathtub,Baby bath,High chair,Children’s books and toys,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Sun loungers,Toaster",true,false,1,Flexible,MXN,0,0,748,4.86,4.9,4.9,4.9,4.8,4.8,4.8,19467.0,391003.0,68.1,1361.7,0.781,0.783,53.3,1071.2,53.5,1074.2,285,1,80,365,3709.0,72100.0,68.9,1339.4,0.611,0.618,41.2,801.1,41.7,810.1,55,1,35,90
237111,Enjoy the Caribbean Sea! 104 A,Entire condo,entire_home,https://a0.muscache.com/im/pictures/fbd1a985-1a6e-4df4-8cc6-caf0d7e2ce76.jpg,25,1243091,Cosette,"","",false,21.1947,-86.8055,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Resort access,Bed linens,Ethernet connection,Outdoor furniture,Microwave,Hammock,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,Beach access,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Private entrance",false,false,5,Firm,MXN,0,0,30,4.47,4.7,4.7,4.3,4.6,4.5,4.6,2770.0,56662.0,90.4,1807.6,0.082,0.117,7.6,155.2,10.8,221.3,30,109,335,365,0.0,0.0,89.9,1746.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
