listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
483699,HOUSE BALLENA A.,Entire home,entire_home,https://a0.muscache.com/im/pictures/60686243/4cb7b531_original.jpg,29,2395002,Carlos,"","",true,31.7308,-116.6457,16,6,16,3.0,false,"TV,Wifi,Kitchen,Free parking on premises,Pets allowed,Hot water,Gym,Resort access,Free street parking,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Fire pit,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,BBQ grill,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Shampoo,Hangers,Outdoor playground,Iron",false,false,2,Firm,MXN,50,0,63,4.68,4.8,4.8,4.6,4.8,4.8,4.8,69543.0,1378694.0,380.2,7597.3,0.496,0.0,190.5,3777.2,0.0,0.0,181,0,184,365,21803.0,423831.0,385.6,7496.4,0.622,0.0,242.3,4709.2,0.0,0.0,56,0,34,90
1036599,"Baja Vacation Getaway, Bajamar Golf Resort.",Entire home,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-1036599/original/9f022680-100b-4f87-9877-c2454bedce88.jpg,53,5706381,Diego,"","",true,32.0212,-116.8693,7,3,4,3.0,false,"TV,Wifi,Pool,Kitchen,Board games,Free parking on premises,Books and reading material,Portable fans,Pets allowed,Resort access,Free street parking,Outdoor furniture,Cleaning products,Indoor fireplace,Heating,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Outdoor playground,Baking sheet,Barbecue utensils,Sun loungers,Toaster",false,false,2,Firm,MXN,55,0,64,4.78,4.8,4.9,4.7,4.8,4.9,4.8,13960.0,280900.0,177.8,3547.5,0.216,0.242,38.2,769.6,42.7,859.0,79,38,286,365,2469.0,47995.0,181.5,3527.6,0.144,0.159,27.4,533.3,30.1,585.3,13,8,77,90
3049457,Beautiful Beach House,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzA0OTQ1Nw==/original/7aa48c73-b482-4b2c-9ab2-95a89265d5c9.jpeg,42,15524543,Jaime And Mercedes,531708639,Mercedes,false,32.0760,-116.8814,12,4,4,3.0,false,"TV,Cable TV,Wifi,Kitchen,Board games,Free parking on premises,Pool table,Portable fans,Smoking allowed,Ceiling fan,Pets allowed,Conditioner,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Indoor fireplace,Heating,Coffee,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Iron,Dedicated workspace,Freezer,Outdoor kitchen,Sound system,High chair,Blender,Window guards,Fireplace guards,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Long term stays allowed,Dining table,Barbecue utensils",true,false,2,Strict,MXN,80,0,262,4.86,4.9,4.9,4.8,4.9,4.9,4.8,29166.0,577114.0,300.5,6007.0,0.263,0.0,79.9,1581.1,0.0,0.0,96,0,269,365,9875.0,191960.0,294.3,5720.5,0.367,0.0,109.7,2132.9,0.0,0.0,33,0,57,90
3329382,Casa Marbella 4BR/2BA Private Beach-Front Home,Entire home,entire_home,https://a0.muscache.com/im/pictures/75835631/f51308b9_original.jpg,28,16809119,Abraham,"","",true,31.7248,-116.6502,12,4,6,2.0,false,"Wifi,Waterfront,Kitchen,Free parking on premises,Pets allowed,Hot water,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Essentials,Iron",false,false,1,Firm,MXN,99,0,134,4.6,4.7,4.8,4.4,4.8,4.8,4.5,40009.0,786714.0,278.7,5557.9,0.373,0.375,109.6,2155.4,110.2,2167.3,136,2,229,365,15000.0,291589.0,306.7,5962.4,0.544,0.0,166.7,3239.9,0.0,0.0,49,0,41,90
3488107,Ocean view apartment and terrace,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3488107/original/cacb773b-92db-4167-9316-e3d6668478d3.jpeg,34,17564484,Ricardo,"","",true,31.9082,-116.7239,3,1,2,1.0,false,"TV,Wifi,Kitchen,Free parking on premises,Portable fans,Smoking allowed,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Blender,Room-darkening shades,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Barbecue utensils,Toaster",true,false,2,Moderate,MXN,15,0,183,4.8,4.8,4.9,4.7,4.9,4.9,4.8,6324.0,124309.0,89.7,1791.9,0.184,0.194,17.3,340.6,18.3,359.3,67,19,298,365,1682.0,32697.0,85.7,1665.8,0.211,0.0,18.7,363.3,0.0,0.0,19,0,71,90
4937837,Modern & clean 2 bed bath apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/5de736f1-6b28-48a1-ab3e-0095a075d33d.jpg,37,4774784,Jacqueline,"","",true,31.8728,-116.6428,5,2,4,1.5,false,"TV,Blender,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Portable fans,Ceiling fan,Hot water,Conditioner,Bed linens,Extra pillows and blankets,Ethernet connection,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Toaster,Bathtub",false,false,2,Moderate,MXN,10,0,218,4.98,5.0,5.0,5.0,5.0,4.9,5.0,8348.0,165097.0,82.0,1637.4,0.274,0.0,22.9,452.3,0.0,0.0,100,0,265,365,2853.0,55457.0,85.5,1662.9,0.367,0.0,31.7,616.2,0.0,0.0,33,0,57,90
5106772,PERICOS OCEANFRONT,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-5106772/original/104c1c88-552a-44cb-a1d9-0baa92e233e7.jpeg,34,26376858,Jerry Baker,"","",false,31.7360,-116.6410,14,4,8,3.0,false,"TV,Wifi,Pool,Kitchen,Free parking on premises,Paid parking off premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,BBQ grill,Backyard,Essentials,Long term stays allowed,Private entrance",false,false,2,Firm,MXN,0,0,83,4.55,4.5,4.7,4.4,4.6,4.7,4.5,27395.0,536324.0,316.4,6324.4,0.238,0.0,75.1,1469.4,0.0,0.0,87,0,278,365,9243.0,179674.0,312.6,6076.8,0.333,0.0,102.7,1996.4,0.0,0.0,30,0,60,90
5404559,Bonito Depa-Parking-Wifi private-Electronic look,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0b4e5e73-9072-4c7b-9849-0eea5c22b62e.jpg,19,28015283,Erika,"","",true,31.8881,-116.6052,4,2,3,1.5,false,"TV,Wifi,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",false,false,2,Moderate,MXN,32,0,137,4.63,4.8,4.8,4.8,4.8,4.5,4.7,1404.0,28159.0,49.0,981.0,0.079,0.0,3.8,77.1,0.0,0.0,29,0,336,365,324.0,6297.0,47.7,927.2,0.067,0.0,3.6,70.0,0.0,0.0,6,0,84,90
5815522,A Beach Villa That Saves Lives!,Entire home,entire_home,https://a0.muscache.com/im/pictures/742eea46-72f7-4dce-ad94-d105f477fc22.jpg,45,30176266,Daniel,400812213,Lourdes,false,32.0529,-116.8796,8,4,6,4.5,false,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Kitchen,Essentials,Free parking on premises,Shampoo,Hot water,Dishes and silverware,Heating,Cooking basics",false,false,2,Firm,MXN,60,0,40,4.88,4.9,4.9,4.8,4.9,4.9,4.8,12032.0,234839.0,248.6,4968.4,0.132,0.0,33.0,643.4,0.0,0.0,48,0,317,365,7272.0,141361.0,247.6,4812.7,0.322,0.0,80.8,1570.7,0.0,0.0,29,0,61,90
5848235,Downtown Ensenada Mountaintop Views for Big Groups,Entire villa,entire_home,https://a0.muscache.com/im/pictures/6abdc65a-9774-4a8b-b43b-dbc4cbb007b6.jpg,50,24214180,Ken,"","",false,31.8781,-116.6350,16,6,14,5.0,false,"TV,Cable TV,Ping pong table,Wifi,Kitchen,Free parking on premises,Paid parking off premises,Books and reading material,Smoking allowed,Pets allowed,Gym,Free street parking,Outdoor furniture,Cleaning products,Indoor fireplace,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Sound system,Hot water,Ethernet connection,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Stove,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed",false,false,2,Firm,MXN,99,0,86,4.94,4.9,4.9,4.8,5.0,4.7,4.9,27857.0,547415.0,536.8,10736.7,0.145,0.0,76.3,1499.8,0.0,0.0,53,0,312,365,9449.0,183680.0,515.1,10013.3,0.2,0.0,105.0,2040.9,0.0,0.0,18,0,72,90
