listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
978457,Central Studio with Balcony & Kitchen,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-978457/original/7b31d458-9ffd-4e3a-b069-a9df14860dcc.jpeg,10,5355362,Alex,"","",false,21.2592,-86.7474,3,1,2,1.0,false,"TV,Blender,Wifi,Air conditioning,Crib,Kitchen,Ceiling fan,Hot water,Body soap,Mosquito net,Bed linens,Free street parking,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Stove,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table",true,true,1,Super Strict 60 Days,MXN,0,0,61,4.25,4.5,4.6,4.3,4.1,4.7,4.2,8512.0,172181.0,60.4,1209.5,0.392,0.429,23.3,471.7,25.6,517.1,143,32,222,365,1350.0,26243.0,59.9,1164.2,0.256,0.0,15.0,291.6,0.0,0.0,23,0,67,90
1534681,Casa Cielo - 2 BR Oceanfront Villa,Entire home,entire_home,https://a0.muscache.com/im/pictures/a8d20acf-43e7-4cbf-bad4-957313f0f471.jpg,85,8184445,Robin,"","",false,21.2551,-86.7448,5,2,3,2.0,false,"TV,Cable TV,Blender,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Ceiling fan,Pets allowed,Hot water,Laundromat nearby,Outdoor furniture,Microwave,Hammock,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Freezer,Private entrance,Toaster",false,false,1,Super Strict 30 Days,MXN,100,0,20,4.8,5.0,5.0,5.0,5.0,4.8,4.6,48743.0,981524.0,299.0,5990.1,0.436,0.0,133.5,2689.1,0.0,0.0,159,0,206,365,9423.0,183174.0,276.3,5370.5,0.367,0.0,104.7,2035.3,0.0,0.0,33,0,57,90
2255010,Beautiful 1BR Apt in heart of town.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/30327650/312dc0a9_original.jpg,8,9340093,Reginald,"","",true,21.2562,-86.7497,2,1,1,1.0,false,"Stove,TV,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Patio or balcony,Air conditioning,Kitchen,Hot water,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics",true,false,1,Firm,MXN,0,0,62,4.94,5.0,5.0,5.0,5.0,5.0,4.8,21102.0,426744.0,98.0,1963.2,0.567,0.58,57.8,1169.2,59.1,1195.4,207,8,158,365,2177.0,42316.0,84.5,1642.8,0.278,0.0,24.2,470.2,0.0,0.0,25,0,65,90
2255716,Downtown 3BR 2BA w Pool & Laundry.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/30335709/2a9551f1_original.jpg,13,9340093,Reginald,"","",true,21.2566,-86.7479,6,3,4,2.0,false,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Pool,Kitchen",true,false,1,Moderate,MXN,0,0,113,4.77,4.8,4.8,4.6,4.9,4.9,4.6,52606.0,1058130.0,307.0,6170.7,0.46,0.0,144.1,2899.0,0.0,0.0,168,0,197,365,6551.0,127344.0,220.7,4290.4,0.333,0.0,72.8,1414.9,0.0,0.0,30,0,60,90
2256198,"2 BR, 2BA in downtown Isla Mujeres!",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/30340921/1e1078f8_original.jpg,7,9340093,Reginald,"","",true,21.2584,-86.7475,4,2,3,2.0,false,"Stove,TV,Smoke alarm,Wifi,Carbon monoxide alarm,Patio or balcony,Air conditioning,Luggage dropoff allowed,Kitchen,Essentials,Pack ’n play/Travel crib,Safe,Hot water,Body soap,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics",true,false,1,Flexible,MXN,0,0,113,4.78,4.8,4.9,4.8,4.9,5.0,4.7,17088.0,345014.0,149.9,3010.2,0.301,0.387,46.8,945.2,60.2,1214.8,110,81,255,365,1906.0,37053.0,117.8,2289.5,0.2,0.234,21.2,411.7,24.8,481.2,18,13,72,90
2754836,Isla Mujeres | Punta Norte Private Bedroom 3,Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/prohost-api/Hosting-2754836/original/41a712fb-5ebb-40ce-8a83-2c0c50631ab2.jpeg,11,5355362,Alex,"","",false,21.2588,-86.7478,,,2,0.0,false,"TV,Blender,Wifi,Air conditioning,Crib,Kitchen,Board games,Hot water kettle,Books and reading material,Hot water,Body soap,Mini fridge,Mosquito net,Bed linens,Free street parking,Microwave,Coffee maker,Dishes and silverware,Cooking basics,Oven,Coffee,Clothing storage,Stove,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace",true,true,1,Super Strict 60 Days,MXN,0,0,361,4.49,4.6,4.7,4.6,4.5,4.8,4.5,5084.0,104027.0,57.2,1147.3,0.216,0.0,13.9,285.0,0.0,0.0,79,0,286,365,446.0,8670.0,50.9,990.1,0.089,0.0,5.0,96.3,0.0,0.0,8,0,82,90
3251479,Golden Sun 1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/57a5f4ce-c8ee-4d61-aed8-64535f82a393.jpg,17,572148003,Valentina,15933611,Valentina,true,21.2572,-86.7471,2,1,1,1.0,false,"Stove,TV,Children’s books and toys,Smoke alarm,Wifi,Carbon monoxide alarm,Patio or balcony,Air conditioning,Backyard,Fire extinguisher,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Hangers,Hot water,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics",false,false,3,Moderate,MXN,16,0,99,4.81,4.9,4.9,4.8,4.9,5.0,4.8,8164.0,166657.0,56.2,1122.5,0.411,0.0,22.4,456.6,0.0,0.0,150,0,215,365,689.0,13394.0,58.0,1126.9,0.133,0.0,7.7,148.8,0.0,0.0,12,0,78,90
3251515,Sol Dorado 3,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3bee7af7-4288-46e9-84cf-9b6fe4dbd595.jpg,19,572148003,Valentina,15933611,Valentina,true,21.2572,-86.7471,3,1,2,1.0,false,"Stove,TV,Smoke alarm,Wifi,Carbon monoxide alarm,Patio or balcony,Air conditioning,Backyard,Fire extinguisher,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Hot water,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics",false,false,3,Moderate,MXN,16,0,38,4.82,4.7,4.8,4.8,4.9,5.0,4.8,7119.0,146403.0,72.4,1444.0,0.288,0.3,19.5,401.1,20.3,418.3,105,15,260,365,0.0,0.0,78.9,1534.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
3251540,Sol Dorado 4,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/93cd0730-83be-4847-b5c1-24ace7ccdb98.jpg,20,572148003,Valentina,15933611,Valentina,true,21.2572,-86.7471,3,1,2,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water,Mosquito net,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Lock on bedroom door,Hangers",false,false,3,Moderate,MXN,16,0,31,4.71,4.7,4.9,4.7,4.7,4.9,4.6,8364.0,171103.0,76.4,1526.3,0.31,0.333,22.9,468.8,24.7,504.7,113,26,252,365,366.0,7114.0,81.0,1575.4,0.067,0.0,4.1,79.0,0.0,0.0,6,0,84,90
3251555,Golden Sun 5,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3251555/original/8719e4a1-a52a-47c6-93a2-51f5c33d7ddb.jpeg,38,572148003,Valentina,15933611,Valentina,true,21.2572,-86.7471,5,2,3,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Hangers,Dining table,Freezer",false,false,3,Moderate,MXN,26,0,107,4.9,4.9,4.9,4.9,4.9,4.9,4.8,28013.0,565661.0,115.4,2308.8,0.655,0.0,76.7,1549.8,0.0,0.0,239,0,126,365,4022.0,78182.0,115.9,2253.6,0.378,0.0,44.7,868.7,0.0,0.0,34,0,56,90
