listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
365722,El Torote del Ancón. Mountain and Sea Desert Oasis.,Earthen home,entire_home,https://a0.muscache.com/im/pictures/4101877/3c888e03_original.jpg,33,1846612,Adriaan,"","",false,24.0103,-110.0962,6,3,4,3.5,false,"BBQ grill,Wifi,Backyard,Pool,Kitchen,Essentials,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Dedicated workspace,Hammock,Indoor fireplace,Dishes and silverware,Cooking basics",false,,3,Strict,MXN,35,0,63,4.94,4.9,5.0,4.7,5.0,4.8,5.0,13392.0,268397.0,275.2,5505.9,0.132,0.15,36.7,735.3,41.7,836.1,48,44,317,365,3964.0,77057.0,266.4,5179.5,0.167,0.0,44.0,856.2,0.0,0.0,15,0,75,90
548738,VERYPRIVATEwth3BEDS+3WC+FULL EQUIPD,Private room in home,private_room,https://a0.muscache.com/im/pictures/34291061/07408a55_original.jpg,59,2682189,Dario,"","",false,24.1703,-110.3039,,,4,0.0,false,"TV,Washer,Wifi,Air conditioning,Kitchen,Essentials,Free parking on premises,Shampoo,Smoking allowed",false,,2,Moderate,MXN,35,0,4,4.0,4.0,3.8,4.2,4.5,4.0,4.2,898.0,17882.0,74.3,1485.2,0.033,0.0,2.5,49.0,0.0,0.0,12,0,353,365,0.0,0.0,71.5,1389.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
704637,2 Couples choice!  beach club + gym + restaurants,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/78a37c68-c051-43bd-8dc0-eeaa613fd9d2.jpg,27,1931151,La Paz Bay,"","",false,24.2149,-110.2983,4,2,2,2.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Hot water,Gym,Bed linens,Extra pillows and blankets,Hot tub,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",false,false,3,Firm,MXN,65,0,14,4.64,4.6,4.4,4.7,4.3,4.9,4.4,18353.0,369116.0,252.3,5042.6,0.2,0.232,50.3,1011.3,58.4,1175.5,73,51,292,365,4257.0,82750.0,255.2,4961.0,0.189,0.0,47.3,919.4,0.0,0.0,17,0,73,90
1013718,Cozy & Charming Casa Victoria. Two blocks from sea,Entire home,entire_home,https://a0.muscache.com/im/pictures/d0f57a10-cbae-4e97-8f22-7d1e09858323.jpg,33,5576485,Erendira,"","",true,24.1532,-110.3211,2,1,1,1.0,false,"Blender,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Books and reading material,Portable fans,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Smoke alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sun loungers,Private entrance",false,false,3,Limited,MXN,28,17,113,4.87,4.9,4.9,5.0,4.9,4.9,4.8,8661.0,173813.0,33.7,674.4,0.701,0.721,23.7,476.2,24.4,489.6,256,10,109,365,1974.0,38374.0,34.1,662.0,0.644,0.725,21.9,426.4,24.7,479.7,58,10,32,90
1026389,Jade Studio. Cozy & Charming. 2 blocks from sea,Entire home,entire_home,https://a0.muscache.com/im/pictures/13fc3ee9-f243-42bb-ba5c-35528694f51e.jpg,34,5576485,Erendira,"","",true,24.1532,-110.3211,1,1,1,1.0,false,"Blender,Window guards,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Hot water,Mini fridge,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Laundromat nearby,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Smoke alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sun loungers",false,false,3,Firm,MXN,28,0,174,4.89,4.9,4.9,4.9,5.0,4.9,4.9,7358.0,147929.0,32.1,640.3,0.633,0.724,20.2,405.3,23.1,463.7,231,46,134,365,673.0,13083.0,33.5,651.0,0.211,0.432,7.5,145.4,15.3,297.3,19,46,71,90
1027242,Turquoise Studio. Cozy & Clean. 2 blocks from sea,Entire home,entire_home,https://a0.muscache.com/im/pictures/6487caca-e1ed-4fdc-ae6f-cd4a9cb76ddc.jpg,36,5576485,Erendira,"","",true,24.1532,-110.3211,2,1,1,1.0,false,"Wifi,Air conditioning,Kitchen,Free parking on premises,Books and reading material,Portable fans,Free street parking,Laundromat nearby,Outdoor furniture,Clothing storage,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Blender,Window guards,Bikes,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Sun loungers,Toaster",false,false,3,Moderate,MXN,26,17,277,4.78,4.8,4.9,4.9,4.9,4.9,4.8,8843.0,176878.0,31.3,625.5,0.77,0.0,24.2,484.6,0.0,0.0,281,0,84,365,2159.0,41965.0,34.6,672.7,0.689,0.0,24.0,466.3,0.0,0.0,62,0,28,90
1349557,Villa Rosita @ VILLAS ROSALES,Entire home,entire_home,https://a0.muscache.com/im/pictures/20833839/60b23deb_original.jpg,20,7322162,Elizabeth,"7579494,70349014","Jose,Mario Luis",false,24.1579,-110.3189,3,,2,1.0,false,"TV,Wifi,Air conditioning,Free parking on premises,Pets allowed,Hot water,Mini fridge,Bed linens,Free street parking,Coffee maker,Dishes and silverware,Cooking basics,Stove,Single level home,Beach access,Patio or balcony,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Hangers,Iron,Toaster",false,false,2,Firm,MXN,27,0,115,4.63,4.8,4.9,4.6,4.9,5.0,4.7,5985.0,121963.0,58.3,1164.8,0.285,0.33,16.4,334.1,19.0,387.2,104,50,261,365,112.0,2177.0,60.1,1168.3,0.022,0.033,1.2,24.2,1.9,36.3,2,30,88,90
2302966,Complete studio a few meters from the sea/near the pier,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjMwMjk2Ng%3D%3D/original/57fa3e8e-24fc-4afe-8df0-3b3647aac832.jpeg,46,11761381,Gabriela,"","",true,24.1500,-110.3321,3,1,2,1.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Free parking on premises,Room-darkening shades,Books and reading material,Ceiling fan,Pets allowed,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Freezer,Private entrance",true,false,2,Firm,MXN,28,0,92,4.71,4.8,4.9,4.9,5.0,4.4,4.8,6588.0,131668.0,40.7,814.4,0.433,0.523,18.0,360.7,21.8,436.0,158,63,207,365,1988.0,38645.0,40.7,790.9,0.533,0.0,22.1,429.4,0.0,0.0,48,0,42,90
2371989,"Main House, 3 bdrm, 2 bath, 4  blocks to Malecon !",Entire villa,entire_home,https://a0.muscache.com/im/pictures/0ccccc6d-b126-455b-999a-46302fab0e48.jpg,25,12117392,Leo,"","",true,24.1542,-110.3159,6,3,5,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Free street parking,Outdoor furniture,Hot tub,Washer,Dryer,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Crib,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Barbecue utensils",false,false,3,Strict,MXN,0,0,81,4.94,4.9,5.0,4.9,5.0,4.9,4.9,59674.0,1201836.0,278.3,5567.7,0.581,0.736,163.5,3292.7,207.2,4173.0,212,77,153,365,1820.0,35379.0,266.8,5185.5,0.078,0.438,20.2,393.1,113.8,2211.2,7,74,83,90
2430947,Complete apartment meters from the sea/near the pier,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-2430947/original/1befd026-217f-41d6-ae2b-38539e195ab8.jpg,68,11761381,Gabriela,"","",true,24.1503,-110.3322,5,1,3,1.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Ceiling fan,Pets allowed,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Stove,Single level home,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Toaster",true,,2,Strict,MXN,23,0,120,4.83,4.9,5.0,4.9,5.0,4.7,4.9,1662.0,33125.0,52.7,1054.4,0.085,0.145,4.6,90.8,7.8,154.8,31,151,334,365,404.0,7852.0,51.4,999.8,0.078,0.0,4.5,87.2,0.0,0.0,7,0,83,90
