listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
269406,Santiago Hills LOFT Cottage,Entire loft,entire_home,https://a0.muscache.com/im/pictures/bb2d8c5c-c7f9-4030-a4a6-03e390c56ce8.jpg,45,1411429,Sean,560062960,Ayelet,false,19.1227,-104.3598,2,1,3,1.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Pets allowed,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Blender,Window guards,Room-darkening shades,Hot water,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Barbecue utensils,Sun loungers,Toaster",false,,2,Strict,MXN,0,0,12,4.73,4.8,4.8,4.9,4.9,4.8,4.5,4169.0,82416.0,192.9,3854.8,0.06,0.087,11.4,225.8,16.4,324.5,22,111,343,365,759.0,14754.0,196.3,3815.2,0.044,0.0,8.4,163.9,0.0,0.0,4,0,86,90
278033,Casita Santiago Hills - White Villa,Entire home,entire_home,https://a0.muscache.com/im/pictures/25c905a2-2d2b-4620-b77d-41df3ce92a00.jpg,23,1411429,Sean,560062960,Ayelet,false,19.1245,-104.3599,4,1,4,1.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",false,,2,Strict,MXN,0,0,8,4.88,4.8,4.8,5.0,4.9,4.5,4.8,1296.0,26285.0,123.1,2463.4,0.027,0.038,3.6,72.0,4.9,99.6,10,101,355,365,0.0,0.0,115.6,2247.1,0.0,0.0,0.0,0.0,0.0,0.0,0,6,90,90
279140,Casita Santiago Hills Guest Room,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/60bcfc8b-cbb8-4951-ba5d-f86e00495ad1.jpg,23,1411429,Sean,560062960,Ayelet,false,19.1224,-104.3595,,,1,0.0,false,"TV,Wifi,Air conditioning,Pool,Board games,Free parking on premises,Books and reading material,Ceiling fan,Conditioner,Mini fridge,Free street parking,Outdoor furniture,Hammock,Drying rack for clothing,Coffee,Clothing storage,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Outdoor kitchen,Private entrance,Room-darkening shades,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Coffee maker,BBQ grill,Patio or balcony,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Barbecue utensils,Sun loungers",false,,2,Strict,MXN,0,0,38,4.79,4.8,4.8,4.8,4.9,4.6,4.7,1797.0,35660.0,86.2,1722.8,0.058,0.071,4.9,97.7,6.1,120.9,21,70,344,365,0.0,0.0,87.4,1698.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
281841,Panoramic Suite #2. Casa Artista Manzanillo,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjgxODQx/original/24badfaa-a3ec-4f27-9e38-43d77dcc66f4.jpeg,36,1469037,Roberto,319091016,Damian,true,19.1215,-104.3609,,,1,0.0,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Dishes and silverware,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Iron,Dedicated workspace",true,false,1,Moderate,MXN,0,0,63,4.87,4.9,4.9,4.7,5.0,4.7,4.8,3999.0,81399.0,86.3,1720.2,0.129,0.0,11.0,223.0,0.0,0.0,47,0,318,365,0.0,0.0,98.9,1922.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
857160,Apartment Marina Puerto Las Hadas,Entire condo,entire_home,https://a0.muscache.com/im/pictures/12274062/3327c0fc_original.jpg,18,3538795,Lorenzo Vanya,433978864,Beatriz,false,19.0995,-104.3462,4,2,3,1.0,false,"TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Paid parking off premises,Portable fans,Smoking allowed,Ceiling fan,Hot water,Resort access,Mosquito net,Elevator,Bed linens,Extra pillows and blankets,Outdoor furniture,Boat slip,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Beach access,Patio or balcony,Essentials,Long term stays allowed,Hangers,Dining table,Freezer",false,false,2,Moderate,MXN,50,0,72,4.63,4.7,4.7,4.7,4.8,4.8,4.6,4833.0,97467.0,116.2,2324.9,0.112,0.0,13.2,267.0,0.0,0.0,41,0,324,365,1238.0,24066.0,110.9,2155.5,0.122,0.0,13.8,267.4,0.0,0.0,11,0,79,90
2188990,Bungalow in Manzanillo for 4-7 people (#2),Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjE4ODk5MA%3D%3D/original/e86db469-af6a-4fae-8df3-8aae24632699.jpeg,20,11162757,Carlos,"","",false,19.1208,-104.3633,7,1,2,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Hot water,Extra pillows and blankets,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Patio or balcony,Backyard,Essentials,Shampoo,Hair dryer",false,false,1,Firm,MXN,16,0,155,4.52,4.6,4.7,4.6,4.7,4.6,4.5,5797.0,115004.0,84.1,1680.3,0.173,0.201,15.9,315.1,18.5,367.4,63,52,302,365,1066.0,20721.0,86.7,1685.6,0.133,0.167,11.8,230.2,14.8,287.8,12,18,78,90
2256568,Bungalow in Manzanillo for 2-3 people (#5),Entire villa,entire_home,https://a0.muscache.com/im/pictures/fd53593c-9bb0-470b-a780-e7c4970afc70.jpg,17,11162757,Carlos,"","",false,19.1193,-104.3626,3,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Extra pillows and blankets,Pocket wifi,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Hair dryer",false,false,1,Firm,MXN,10,0,276,4.57,4.6,4.7,4.5,4.7,4.6,4.6,10785.0,216070.0,59.0,1178.4,0.51,0.0,29.5,592.0,0.0,0.0,186,0,179,365,2574.0,50034.0,60.7,1180.6,0.444,0.0,28.6,555.9,0.0,0.0,40,0,50,90
2436086,Luxurious Elegant Villa in Mexico,Entire villa,entire_home,https://a0.muscache.com/im/pictures/32349042/3e9b0100_original.jpg,37,12450640,Villa,"","",false,19.0944,-104.3508,10,5,6,7.0,false,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Room-darkening shades,Books and reading material,Hot water,Gym,Body soap,Breakfast,Bed linens,Extra pillows and blankets,Outdoor furniture,Cleaning products,Refrigerator,Dishes and silverware,Heating,Clothing storage,Washer,Dryer,Beach access,Smoke alarm,Exercise equipment,Shower gel,Carbon monoxide alarm,Patio or balcony,Backyard,Bidet,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Arcade games,Sun loungers,Bathtub",false,false,3,Firm,MXN,0,0,11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,33093.0,675586.0,828.3,16595.8,0.099,0.0,90.7,1850.9,0.0,0.0,36,0,329,365,0.0,0.0,760.1,14775.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2694717,"Suite #4, Room in Casa del Artista Manzanillo",Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjY5NDcxNw%3D%3D/original/9b296c89-b203-445b-8d9b-5f715e1e6d0c.jpeg,19,1469037,Roberto,319091016,Damian,true,19.1226,-104.3624,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Essentials,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Breakfast",true,false,1,Flexible,MXN,0,0,69,4.88,4.9,4.9,4.8,5.0,4.8,4.8,2457.0,49845.0,63.6,1270.3,0.112,0.0,6.7,136.6,0.0,0.0,41,0,324,365,0.0,0.0,74.9,1455.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2715428,"Suite #3 Casa del Artista, Large Room",Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjcxNTQyOA%3D%3D/original/c50cfc08-1592-4497-996f-fd2ad9100be9.jpeg,38,1469037,Roberto,319091016,Damian,true,19.1218,-104.3607,,,2,0.0,false,"TV,Cable TV,Wifi,Air conditioning,First aid kit,Pool,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Smoking allowed,Pets allowed,Breakfast",true,,1,Flexible,MXN,0,0,16,4.88,4.8,4.9,4.7,4.8,4.8,4.8,1419.0,29031.0,114.6,2289.4,0.036,0.0,3.9,79.5,0.0,0.0,13,0,352,365,0.0,0.0,117.0,2274.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
