listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
61360,Upscale Beachfront Condo,Entire condo,entire_home,https://a0.muscache.com/im/pictures/375020/619e5561_original.jpg,45,296864,Leah,"","",false,23.2733,-106.4646,6,2,4,2.0,false,"TV,Washer,Dryer,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Shampoo,Hangers,Hair dryer,Iron,Gym,Elevator,Hot tub",false,,3,Strict,MXN,0,0,5,4.2,4.4,4.8,4.6,4.6,4.6,4.6,2376.0,48477.0,196.8,3937.6,0.033,0.0,6.5,132.8,0.0,0.0,12,0,353,365,0.0,0.0,186.9,3633.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1579411,Private Beachfront Suite -Mazatlan,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0f16fc4f-da09-494e-b599-dc789c31966e.jpg,44,7656038,Alejandro,"","",false,23.2441,-106.4548,6,1,3,1.0,false,"Stove,TV,Cable TV,Beach access,Smoke alarm,Wifi,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Safe,Free parking on premises,Hot water,Mosquito net,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Oven,Clothing storage",false,false,2,Flexible,MXN,0,0,113,4.76,4.8,4.8,4.8,4.8,4.9,4.8,12587.0,252275.0,131.8,2630.5,0.266,0.307,34.5,691.2,39.8,798.3,97,49,268,365,2687.0,52232.0,137.9,2680.2,0.222,0.0,29.9,580.4,0.0,0.0,20,0,70,90
1793869,Beach front condo in Mazatlán.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/26348488/d77c1d8b_original.jpg,34,9411682,Leonardo,"","",false,23.2980,-106.4797,5,2,3,2.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Ceiling fan,Hot water,Gym,Elevator,Bed linens,Free street parking,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Sauna,Clothing storage,Stove,Wine glasses,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Essentials,Long term stays allowed,Hangers,Iron,Private entrance,Toaster",,,2,Firm,MXN,29,,146,4.66,4.8,4.8,4.6,4.8,4.9,4.7,3284.0,67145.0,133.7,2672.2,0.068,0.17,9.0,184.0,22.3,456.8,25,218,340,365,0.0,0.0,131.7,2560.3,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
2049078,Colonial Casita-Centro,Entire home,entire_home,https://a0.muscache.com/im/ml/photo_enhancement/pictures/baf59d7b-fbe0-4bfa-a275-bf0789268c53.jpg,44,1297617,Ericko & Flavio,"","",false,23.1991,-106.4163,4,2,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Ceiling fan,Pets allowed,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Blender,Window guards,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Barbecue utensils",,,1,Strict,MXN,35,,95,4.81,4.9,5.0,4.8,5.0,4.8,4.8,2095.0,42706.0,105.0,2138.7,0.055,0.062,5.7,117.0,6.4,131.4,20,40,345,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2083994,Charming 3br house pool golf beach,Entire home,entire_home,https://a0.muscache.com/im/pictures/34433415/7d1a5479_original.jpg,41,10642584,Eduardo,"","",false,23.2808,-106.4681,6,3,3,1.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Ceiling fan,Pets allowed,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Outdoor playground,Iron",true,false,1,Moderate,MXN,0,0,368,4.77,4.9,4.8,4.8,4.9,4.9,4.8,4052.0,81113.0,84.8,1694.7,0.132,0.198,11.1,222.2,16.7,335.2,48,123,317,365,805.0,15648.0,82.8,1610.1,0.111,0.0,8.9,173.9,0.0,0.0,10,0,80,90
3534344,Colonial Casita - Centro,Entire loft,entire_home,https://a0.muscache.com/im/pictures/44590343/7ea1c57d_original.jpg,14,17795446,Susan,"","",false,23.1992,-106.4183,2,1,2,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Pets allowed,Hot water,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Patio or balcony,Backyard,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",,,2,Strict,MXN,25,,79,4.87,5.0,5.0,4.9,4.9,4.9,4.9,3432.0,70823.0,60.2,1204.2,0.151,0.0,9.4,194.0,0.0,0.0,55,0,310,365,0.0,0.0,56.8,1103.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
3750687,This will be your home in Mazatlan!,Private room in home,private_room,https://a0.muscache.com/im/pictures/1d46ce49-2c77-4f85-a32d-03b33a29e800.jpg,17,19190687,Natalia Guadalupe,"","",false,23.2055,-106.4239,,,1,0.0,false,"Wifi,Waterfront,Air conditioning,Kitchen,Smoking allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,First aid kit,Backyard,Beach essentials,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",true,,3,Flexible,MXN,0,5,81,4.98,5.0,5.0,4.9,5.0,4.9,5.0,1127.0,23142.0,84.9,1698.6,0.036,0.0,3.1,63.4,0.0,0.0,13,0,352,365,0.0,0.0,79.0,1536.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
5116712,Comfortable House with Private Pool Near Beach,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-5116712/original/5a4cc085-81ee-41a2-a7fa-466a39c92e43.jpeg,40,21066101,Alma,"","",false,23.2903,-106.4727,15,3,6,3.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Hot water,Free street parking,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,BBQ grill,Essentials,Long term stays allowed,Hangers,Iron",false,,2,Strict,MXN,0,0,9,4.89,4.8,5.0,4.7,4.9,4.8,4.8,14912.0,298452.0,269.8,5394.4,0.156,0.0,40.9,817.7,0.0,0.0,57,0,308,365,3460.0,67259.0,252.7,4912.1,0.144,0.0,38.4,747.3,0.0,0.0,13,0,77,90
5524083,"Now Sleeps 20 | Oceanfront! 7,600 ft2  | 706 m2",Entire place,entire_home,https://a0.muscache.com/im/pictures/e9cd393d-e344-4edf-a282-440214e04dfb.jpg,49,28647629,Gregory & Jodie,"","",true,23.1951,-106.4263,16,6,14,5.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Pets allowed,Mini fridge,Free street parking,Cleaning products,Coffee,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,High chair,Children’s books and toys,Blender,Room-darkening shades,Children’s dinnerware,Game console,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Barbecue utensils,Toaster",false,false,2,Strict,MXN,198,0,89,4.6,4.6,4.9,4.7,4.9,4.8,4.6,30433.0,615793.0,420.8,8437.4,0.184,0.0,83.4,1687.1,0.0,0.0,67,0,298,365,1280.0,24883.0,342.3,6653.8,0.044,0.0,14.2,276.5,0.0,0.0,4,0,86,90
5729936,A house in Marina,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/101898965/22cd73c7_original.jpg,28,29709965,Paola,"","",false,23.2744,-106.4590,2,,2,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Books and reading material,Pets allowed,Hot water,Body soap,Mosquito net,Bed linens,Ethernet connection,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Safe,Shampoo,Hangers,Hair dryer,Iron",true,false,1,Firm,MXN,10,0,190,4.88,4.9,4.9,4.8,4.9,4.9,4.9,922.0,18464.0,63.7,1273.0,0.038,0.0,2.5,50.6,0.0,0.0,14,0,351,365,408.0,7932.0,64.0,1243.7,0.067,0.0,4.5,88.1,0.0,0.0,6,0,84,90
