listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
41644,Aldea Thai Luxury 1 bdrm studio  with private pool,Entire condo,entire_home,https://a0.muscache.com/im/pictures/4bdf3a0f-87fd-4468-adfc-6fe116d1d32a.jpg,59,181918,Sheryl,"","",true,20.6309,-87.0658,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Resort access,Elevator,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",false,false,3,Firm,MXN,50,0,76,4.61,4.7,4.8,4.5,4.8,4.9,4.6,11459.0,236360.0,139.8,2791.7,0.236,0.24,31.4,647.6,31.9,658.4,86,6,279,365,0.0,0.0,152.5,2964.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
43787,"Penthouse Beach, Private Jacuzzi, BBQ, Family",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/a46ce033-874b-4aa2-ba84-80208c5f6ed8.jpg,85,191492,Myrna Columba,"","",true,20.6328,-87.0671,6,3,4,3.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Resort access,Outdoor furniture,Hot tub,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Baby bath,High chair,Blender,Window guards,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Beach essentials,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Sun loungers,Toaster",true,false,3,Firm,MXN,50,0,202,4.91,4.9,4.9,4.9,4.9,5.0,4.9,41435.0,837196.0,176.2,3531.1,0.619,0.0,113.5,2293.7,0.0,0.0,226,0,139,365,4319.0,83955.0,154.9,3011.3,0.3,0.0,48.0,932.8,0.0,0.0,27,0,63,90
50396,ALEGRE VILLA/ STEPS  TO BEACH /2 BLOCKS  TO TOWN,Entire villa,entire_home,https://a0.muscache.com/im/pictures/517069/cd8d573a_original.jpg,26,231183,Mark,"","",false,20.6182,-87.0792,8,3,5,2.0,false,"TV,Washer,Cable TV,Dryer,Wifi,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Shampoo,Hangers,Hair dryer,Hot water,Iron,Dishes and silverware,Cooking basics",false,false,3,Firm,MXN,0,0,49,4.9,4.8,4.9,4.9,4.9,5.0,4.8,24930.0,510478.0,255.5,5118.1,0.249,0.292,68.3,1398.6,79.9,1636.1,91,53,274,365,0.0,0.0,226.6,4405.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
54333,Ocean View Condo - 2 Bedroom - at The Elements,Entire condo,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-54333/original/19029d9b-a0d1-439f-95af-f8e808db137e.jpeg,30,254802,Nasplaya,"","",true,20.6354,-87.0615,4,2,3,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Bed linens,Hot tub,Microwave,Refrigerator,Cooking basics,Stove,Washer,Dryer,Beach access,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Toaster",true,,3,Strict,MXN,45,0,13,4.54,4.5,4.2,4.7,4.3,4.7,4.5,3532.0,72613.0,293.3,5970.4,0.033,0.051,9.7,198.9,14.9,306.4,12,128,353,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
60549,Infinity Pool & Priv. Beach Club - Luxury Complex,Entire condo,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-60549/original/57b8d5c2-655c-4c92-8dbe-dd1407bea852.jpeg,28,254802,Nasplaya,"","",false,20.6363,-87.0614,6,2,3,2.0,false,"TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Bed linens,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Backyard,Essentials,Safe,Hair dryer,Iron,Dedicated workspace,Toaster",true,true,4,Firm,MXN,40,0,7,4.71,4.9,4.6,4.7,4.6,4.9,4.7,11148.0,231069.0,374.4,7479.1,0.085,0.127,30.5,633.1,45.7,947.0,31,121,334,365,0.0,0.0,343.4,6674.7,0.0,0.0,0.0,0.0,0.0,0.0,0,2,90,90
60963,Beachfront Ph with 3 Bedrooms & Ocean View,Entire condo,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-60963/original/37e761f4-20f4-4dfc-bda2-a9ba67f16556.jpeg,30,254802,Nasplaya,"","",true,20.6358,-87.0618,6,3,4,3.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Hot water,Elevator,Bed linens,Hot tub,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Essentials,Hair dryer,Iron,Dedicated workspace,Toaster",true,,3,Strict,MXN,50,0,42,4.43,4.4,4.5,4.5,4.5,4.6,4.3,11406.0,231271.0,291.6,5861.5,0.107,0.132,31.2,633.6,38.7,784.0,39,70,326,365,1088.0,21150.0,217.5,4227.6,0.056,0.059,12.1,235.0,12.8,248.8,5,5,85,90
61074,Turquoise Penthouse - Beachside - At Casa del Mar,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-61074/original/2e42965b-1cd5-4f81-9e33-752202674791.jpeg,33,254802,Nasplaya,"","",true,20.6354,-87.0601,6,2,3,2.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Hot water,Elevator,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Essentials,Hair dryer,Iron,Dedicated workspace,Toaster",true,,3,Strict,MXN,45,0,7,4.57,4.9,5.0,4.6,4.7,4.6,4.3,4692.0,92775.0,273.5,5473.4,0.047,0.062,12.9,254.2,17.2,341.1,17,93,348,365,1333.0,25912.0,261.3,5078.7,0.056,0.066,14.8,287.9,17.5,340.9,5,14,85,90
65385,Unique  Condo in Playa del Carmen with Garden,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/609869/0d9e69ab_original.jpg,27,319596,Monica,"","",false,20.6361,-87.0667,4,1,2,1.5,false,"TV,Blender,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Books and reading material,Portable fans,Ceiling fan,Hot water,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Hangers,Iron,Freezer,Toaster",false,false,2,Moderate,MXN,20,0,172,4.8,4.8,4.9,4.7,4.9,4.9,4.8,11195.0,230141.0,92.9,1860.3,0.31,0.328,30.7,630.5,32.4,667.1,113,20,252,365,0.0,0.0,89.2,1733.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
74396,Large Penthouse with Rooftop bedroom,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzQzOTY%3D/original/e45add47-faf6-4b2a-ba78-3b8f80d91fe5.jpeg,60,344530,⁨Mariela B.⁩,"","",false,20.6318,-87.0716,6,2,3,3.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Laundromat nearby,Outdoor furniture,Cleaning products,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Blender,Babysitter recommendations,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Shower gel,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Toaster",true,,3,Strict,MXN,0,0,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3055.0,62648.0,229.7,4601.2,0.033,0.039,8.4,171.6,10.0,205.4,12,60,353,365,0.0,0.0,205.8,3999.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
76602,"Bright and sunny corner studio near 5th, sleeps 2",Entire condo,entire_home,https://a0.muscache.com/im/pictures/e7ca71cd-06c0-49c2-9e1c-c9c56506aa7f.jpg,16,409206,Monica,"","",false,20.6381,-87.0656,2,,1,1.0,false,"Blender,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Room-darkening shades,Ceiling fan,Pets allowed,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Laundromat nearby,Outdoor furniture,Microwave,Hammock,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Beach access,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",true,false,2,Flexible,MXN,30,0,89,4.57,4.6,4.8,4.6,4.8,4.7,4.6,3907.0,80283.0,28.7,572.5,0.403,0.0,10.7,220.0,0.0,0.0,147,0,218,365,0.0,0.0,32.2,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
