listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
66522,"Delightful 3 bedroom, 2 bath home",Entire home,entire_home,https://a0.muscache.com/im/pictures/414154/501b0079_original.jpg,25,223859,Lois,"","",false,15.8584,-97.0706,6,3,4,2.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Hot water,Bed linens,Free street parking,Laundromat nearby,Outdoor furniture,Microwave,Hammock,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Stove,Wine glasses,Washer,Beach access,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Outdoor dining area,Sun loungers,Private entrance,Toaster",false,,3,Strict,MXN,50,0,94,4.72,4.8,4.8,4.8,4.7,4.8,4.7,2588.0,52851.0,183.1,3663.1,0.038,0.058,7.1,144.8,10.7,219.3,14,124,351,365,0.0,0.0,169.6,3297.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
165901,Condos Mantarrayas -Your Home on the beach -Turquoise,Entire condo,entire_home,https://a0.muscache.com/im/pictures/88588517/1c76bb03_original.jpg,39,342073413,Omar,790910,Omar,false,15.8625,-97.0780,8,2,4,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Children’s dinnerware,Books and reading material,Portable fans,Ceiling fan,Hot water,Bed linens,Free street parking,Ethernet connection,Laundromat nearby,Microwave,Hammock,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table",false,,2,Strict,MXN,18,0,244,4.77,4.8,4.9,4.8,4.9,4.9,4.7,5972.0,120036.0,91.7,1838.0,0.162,0.253,16.4,328.9,25.6,515.2,59,132,306,365,1331.0,25873.0,84.1,1635.5,0.178,0.198,14.8,287.5,16.4,319.4,16,9,74,90
278951,"Beachfront Escape  Private Pool, Spacious & Serene",Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-278951/original/c090e23b-06c8-456b-a2e4-5552319999f6.jpeg,82,1454045,Cath,"","",true,15.7883,-96.9456,14,5,8,4.5,false,"TV,Cable TV,Wifi,Waterfront,Pool,Kitchen,Free parking on premises,Books and reading material,Smoking allowed,Ceiling fan,Pets allowed,Conditioner,Outdoor furniture,Hammock,Clothing storage,Wine glasses,Washer,Beach access,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Freezer,Private entrance,Sound system,Blender,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Outdoor shower,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",true,false,2,Firm,MXN,0,0,150,4.77,4.7,4.9,4.8,4.8,4.8,4.7,65635.0,1307913.0,594.8,11956.6,0.326,0.348,179.8,3583.3,191.9,3824.3,119,23,246,365,15187.0,295223.0,438.2,8517.8,0.389,0.443,168.7,3280.3,192.2,3737.0,35,11,55,90
498808,TDA House. Boutique design. NEW AC. Fast Internet,Entire home,entire_home,https://a0.muscache.com/im/pictures/5953414/41f5c15c_original.jpg,32,2462278,Marina,"","",false,15.8612,-97.0812,8,3,5,2.5,false,"TV,Blender,Wifi,Air conditioning,Pool,Kitchen,Board games,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Hot water,Body soap,Outdoor shower,Bed linens,Free street parking,Laundromat nearby,Outdoor furniture,Microwave,Hammock,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Safe,Shampoo,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Private entrance,Toaster",true,false,2,Firm,MXN,70,0,269,4.69,4.7,4.8,4.6,4.7,4.9,4.7,40723.0,818853.0,216.2,4316.6,0.512,0.533,111.6,2243.4,116.0,2332.9,187,14,178,365,6139.0,119336.0,221.4,4304.0,0.3,0.355,68.2,1326.0,80.8,1570.2,27,14,63,90
742745,Condos Mantarrayas - Your home on the beach - Coral,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b2bda4e0-719f-45de-bf0b-748827a2c42f.jpg,42,342073413,Omar,790910,Omar,true,15.8620,-97.0789,3,1,2,1.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Pool,Kitchen,Books and reading material,Hot water,Body soap,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Shampoo,Hangers,Dining table,Outdoor dining area,Private entrance",false,false,2,Firm,MXN,21,0,76,4.89,4.8,4.9,4.7,5.0,4.9,4.8,13240.0,267199.0,81.2,1626.6,0.444,0.0,36.3,732.1,0.0,0.0,162,0,203,365,1157.0,22489.0,76.4,1486.0,0.167,0.0,12.9,249.9,0.0,0.0,15,0,75,90
830959,Stylish beach villa in Ventanilla,Entire home,entire_home,https://a0.muscache.com/im/pictures/33e7b2d0-e6cf-4029-94e7-08401190ad8b.jpg,61,3671676,Isabel,20919686,Julieta,false,15.7986,-96.9787,8,4,5,4.5,false,"TV,Cable TV,Wifi,Air conditioning,Lake access,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Resort access,Outdoor furniture,Hot tub,Hammock,Cleaning products,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,First aid kit,Essentials,Shampoo,Hangers,Iron,Outdoor dining area,Freezer,Outdoor kitchen,Baby bath,High chair,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Barbecue utensils",false,,4,Super Strict 30 Days,MXN,0,0,11,4.64,4.4,4.8,4.6,4.5,4.9,4.5,56079.0,1144457.0,1259.9,25211.6,0.121,0.129,153.6,3135.5,164.0,3346.4,44,23,321,365,0.0,0.0,1193.7,23204.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1977428,Ocean-Pickleball-Chef-Lap Pool-Casa Hola Ola,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1977428/original/53ef899b-d6eb-4bda-a724-d18b4583c559.jpeg,44,6632656,Muriel,69504414,Jeff,false,15.8041,-97.0049,14,6,13,7.5,false,"TV,Ping pong table,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Breakfast,Resort access,Conditioner,Mini fridge,Outdoor furniture,Hammock,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Outlet covers,High chair,Children’s books and toys,Blender,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Children’s dinnerware,Movie theater,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Beach essentials,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",false,false,4,Firm,MXN,0,0,17,4.88,4.8,4.9,4.9,5.0,4.9,4.8,130873.0,2649772.0,1747.9,35001.8,0.2,0.222,358.6,7259.6,397.8,8054.0,73,36,292,365,4726.0,91869.0,1577.1,30657.6,0.033,0.0,52.5,1020.8,0.0,0.0,3,0,87,90
2124412,casaemelina-puertoescondido.,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2124412/original/22538ba5-46c7-4136-910f-b40fadc8cfe6.jpeg,68,10834423,Herbert,"","",false,15.8716,-97.0796,14,7,15,7.0,false,"High chair,TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Ceiling fan,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Washer,Dryer,Beach access,Shower gel,Bidet,Essentials,Safe,Shampoo,Cleaning before checkout,Dining table,Dedicated workspace,Freezer,Bathtub",false,,3,Strict,MXN,0,0,6,4.0,4.2,4.5,4.7,3.8,4.0,4.2,27223.0,559748.0,1833.8,36712.4,0.038,0.0,74.6,1533.6,0.0,0.0,14,0,351,365,0.0,0.0,1676.8,32595.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2211278,"Casa KUUL, elegant fusion of house and garden.",Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2211278/original/3986e217-102c-4e65-a676-c3fde6680135.jpeg,26,10030793,Mark,"","",false,15.7892,-96.9462,4,2,3,2.0,false,"Wifi,Pool,Kitchen,Free parking on premises,Bikes,Books and reading material,Smoking allowed,Pets allowed,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Hammock,Cleaning products,Coffee maker,Indoor fireplace,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Stove,Washer,Beach access,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dedicated workspace,Outdoor dining area,Outdoor kitchen,Sun loungers,Private entrance",false,,2,Flexible,MXN,50,0,52,4.75,4.8,4.6,4.7,4.5,4.8,4.7,3764.0,77248.0,234.0,4677.4,0.044,0.0,10.3,211.6,0.0,0.0,16,0,349,365,0.0,0.0,237.9,4625.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2261923,Cozy Suite,Entire loft,entire_home,https://a0.muscache.com/im/pictures/d4116735-3a25-4423-8884-16e440789ac5.jpg,13,11550412,Martha Esther,"","",true,15.8628,-97.0829,2,1,1,1.0,false,"TV,Cable TV,Blender,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Books and reading material,Ceiling fan,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Single level home,Beach access,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dedicated workspace,Private entrance",false,false,3,Firm,MXN,16,0,26,4.85,4.9,4.9,5.0,4.9,5.0,4.7,2631.0,53873.0,83.0,1659.4,0.085,0.0,7.2,147.6,0.0,0.0,31,0,334,365,0.0,0.0,82.6,1604.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
