listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
27794,Comfortable studio in Puerto Morelos 2 calle del mar,Entire loft,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-27794/original/c4f50e4e-caf4-4756-9e75-53d9b5f8cca5.jpeg,10,119979,Sandra,"","",false,20.8494,-86.8767,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Hair dryer,Iron",true,false,2,Firm,MXN,0,0,136,4.81,4.9,4.8,4.9,4.9,4.8,4.8,8119.0,167626.0,96.9,1940.5,0.216,0.219,22.2,459.2,22.6,465.6,79,5,286,365,0.0,0.0,90.5,1759.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
53291,Ocean View Penthouse Loft,Entire loft,entire_home,https://a0.muscache.com/im/pictures/e02ac5b5-cfa3-448a-bd4f-de1295a784ad.jpg,14,119979,Sandra,"","",false,20.8493,-86.8774,4,1,2,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Ceiling fan,Hot water,Body soap,Bed linens,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Beach access,Smoke alarm,Shower gel,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron",false,false,2,Firm,MXN,0,0,99,4.82,4.8,4.8,4.9,4.9,4.9,4.8,6657.0,137760.0,105.0,2103.8,0.153,0.164,18.2,377.4,19.5,404.0,56,24,309,365,0.0,0.0,88.8,1726.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
856065,Beachside Oasis ! Spacious ½ block from the Beach,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODU2MDY1/original/7d23241b-29f5-4afd-b2e9-f7aa1d2ff509.jpeg,27,953466,Puerto  Morelos,421102227,Puerto Morelos Mexico,false,20.8530,-86.8724,5,2,3,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Books and reading material,Ceiling fan,Free street parking,Outdoor furniture,Cleaning products,Clothing storage,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Dedicated workspace,Freezer,High chair,Blender,Room-darkening shades,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Sun loungers,Toaster",true,,4,Strict,MXN,30,0,16,4.44,4.3,4.4,4.4,4.6,4.9,4.4,2095.0,42179.0,167.1,3358.1,0.036,0.047,5.7,115.6,7.6,152.3,13,88,352,365,0.0,0.0,141.3,2746.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
893749,"Rooftop Terrace & Pool, 3 Mins to Beach, King Beds",Entire home,entire_home,https://a0.muscache.com/im/pictures/13488522/9687b93c_original.jpg,47,4765156,Katherine,173517162,Selene,true,20.8496,-86.8743,6,3,3,3.0,false,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Pets allowed,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Blender,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",false,false,3,Firm,MXN,55,0,63,4.92,5.0,4.9,4.9,4.9,4.9,4.8,68733.0,1394849.0,393.6,7908.8,0.444,0.0,188.3,3821.5,0.0,0.0,162,0,203,365,7277.0,141459.0,307.3,5972.8,0.267,0.0,80.9,1571.8,0.0,0.0,24,0,66,90
1300434,EARTH studio in la petite France,Entire place,entire_home,https://a0.muscache.com/im/pictures/49167132/5de597ec_original.jpg,24,7070394,Vincent,"","",false,20.8715,-86.8683,2,1,1,1.0,false,"Wifi,Air conditioning,Kitchen,Portable fans,Hot water,Body soap,Conditioner,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Beach access,Patio or balcony,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers",false,,2,Strict,MXN,30,19,29,4.83,5.0,4.9,4.8,5.0,4.8,4.8,1061.0,21613.0,85.6,1708.1,0.038,0.048,2.9,59.2,3.6,73.8,14,72,351,365,0.0,0.0,93.4,1816.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1319814,Casa Sak-Nah Suite 2 Ocean View,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/19899241/36b5c7fb_original.jpg,16,7114168,Sergio,"","",false,20.8684,-86.8682,,,1,0.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Hammock,Drying rack for clothing,Clothing storage,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Blender,Room-darkening shades,Bikes,Hot water,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Barbecue utensils",false,,5,Strict,MXN,0,0,6,4.83,5.0,5.0,5.0,5.0,4.7,4.8,2268.0,46106.0,87.4,1745.9,0.071,0.127,6.2,126.3,11.1,224.9,26,160,339,365,0.0,0.0,90.8,1765.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1320010,Sak-Nah Jardin (3),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c9a58c22-7816-4465-a4d8-2211f4c78c73.jpg,32,7114168,Sergio,"","",false,20.8689,-86.8671,2,1,1,1.5,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Smoking allowed,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Hammock,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Blender,Room-darkening shades,Bikes,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table",false,false,5,Firm,MXN,0,0,49,4.92,4.9,4.9,4.8,4.9,4.8,4.9,6035.0,124464.0,82.1,1638.5,0.208,0.309,16.5,341.0,24.5,506.0,76,119,289,365,80.0,1555.0,83.6,1626.0,0.011,0.032,0.9,17.3,2.6,50.2,1,59,89,90
1992741,Spacious & Private Beachfront House - Pto Morelos,Entire home,entire_home,https://a0.muscache.com/im/pictures/84082477/9a2320bc_original.jpg,54,10207215,Zbigniew,"","",false,20.8944,-86.8592,10,5,5,5.5,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Pets allowed,Hot water,Outdoor shower,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Beach access,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Essentials,Hangers,Dining table,Iron,Freezer,Bread maker,Private entrance,Toaster",true,,1,Strict,MXN,250,0,25,4.24,4.4,4.5,4.3,4.5,4.4,4.3,14957.0,308826.0,543.5,10861.1,0.071,0.0,41.0,846.1,0.0,0.0,26,0,339,365,0.0,0.0,561.6,10917.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
3214819,"Ocean view loft, Puerto Morelos.",Entire loft,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3214819/original/cabfcb9c-7e0b-4c93-b4d4-5dcc9a32f95a.jpeg,12,119979,Sandra,"","",false,20.8482,-86.8761,4,1,2,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Bed linens,Free street parking,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron",true,false,2,Moderate,MXN,0,0,71,4.79,4.7,4.8,4.9,4.9,4.9,4.7,5435.0,112506.0,96.6,1935.9,0.14,0.151,14.9,308.2,16.1,333.8,51,28,314,365,0.0,0.0,85.2,1657.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
3894727,SKY studio in Petite France,Entire place,entire_home,https://a0.muscache.com/im/pictures/49170127/2e2f4046_original.jpg,23,7070394,Vincent,"","",false,20.8686,-86.8677,2,1,1,1.0,false,"Wifi,Air conditioning,Kitchen,Portable fans,Hot water,Body soap,Conditioner,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Beach access,Patio or balcony,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers",false,,2,Strict,MXN,30,19,10,4.8,4.8,4.7,4.7,4.9,4.8,4.6,1070.0,21632.0,82.7,1654.1,0.036,0.046,2.9,59.3,3.8,76.4,13,82,352,365,320.0,6220.0,80.1,1556.3,0.044,0.0,3.6,69.1,0.0,0.0,4,0,86,90
