listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
14653,Seaside Cozy Condo in PV,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/15360840/8ee1efea_original.jpg,14,57581,Mane,"","",true,20.5875,-105.2438,4,2,2,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Pets allowed,Hot water,Bed linens,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Beach access,Smoke alarm,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Cleaning before checkout,Hair dryer,Iron,Dedicated workspace,Private entrance",true,false,2,Flexible,MXN,25,0,230,4.78,4.8,4.7,4.7,4.8,4.9,4.8,30148.0,608581.0,105.5,2118.9,0.756,0.0,82.6,1667.3,0.0,0.0,276,0,89,365,3911.0,76026.0,83.6,1625.7,0.544,0.0,43.5,844.7,0.0,0.0,49,0,41,90
21961,3 BR beachfront Sky Suite F,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/02c9c594-e940-493f-88d9-e17759c9defd.jpg,27,82705,Haniel,"","",true,20.5960,-105.2399,6,3,3,3.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Elevator,Free street parking,Outdoor furniture,Hot tub,Heating,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Crib,Pack ’n play/Travel crib,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",true,false,4,Strict,MXN,0,0,110,4.9,4.9,4.9,4.8,4.9,4.8,4.8,158565.0,3194920.0,624.6,12561.4,0.685,0.0,434.4,8753.2,0.0,0.0,250,0,115,365,24602.0,478246.0,479.2,9315.7,0.556,0.0,273.4,5313.8,0.0,0.0,50,0,40,90
35965,3Bedroom Private Pool Seaside Condo,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/14247844/dfbe643f_original.jpg,21,57581,Mane,"","",true,20.5876,-105.2446,7,3,3,0.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Books and reading material,Ceiling fan,Pets allowed,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Clothing storage,Wine glasses,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Bathtub,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Sun loungers,Toaster",true,false,1,Flexible,MXN,30,0,237,4.76,4.8,4.7,4.8,4.8,4.9,4.8,86682.0,1748762.0,322.6,6480.6,0.704,0.736,237.5,4791.1,248.4,5010.8,257,16,108,365,11293.0,219527.0,260.8,5068.9,0.478,0.581,125.5,2439.2,152.6,2966.6,43,16,47,90
35970,Cozy 2Bdr Condo Incredible Sunsets,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/15215177/4a75ee87_original.jpg,19,57581,Mane,"","",true,20.5874,-105.2441,4,2,2,0.0,false,"TV,Cable TV,Blender,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Books and reading material,Pets allowed,Hot water,Body soap,Bed linens,Free street parking,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Beach access,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Safe,Shampoo,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace",true,false,1,Flexible,MXN,30,0,302,4.75,4.8,4.7,4.8,4.8,4.9,4.8,52053.0,1044594.0,151.8,3042.9,0.929,0.0,142.6,2861.9,0.0,0.0,339,0,26,365,9626.0,187124.0,114.9,2233.8,0.922,0.0,107.0,2079.2,0.0,0.0,83,0,7,90
35987,Beachfront Condo @ Conchas Chinas,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/15360795/6129c568_original.jpg,23,57581,Mane,"","",true,20.5868,-105.2452,4,2,2,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Ski-in/Ski-out,Kitchen,Free parking on premises,Pets allowed,Hot water,Bed linens,Free street parking,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Cooking basics,Oven,Stove,Beach access,Smoke alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace",true,false,2,Flexible,MXN,35,0,261,4.79,4.9,4.8,4.8,4.9,4.9,4.9,36397.0,735302.0,135.0,2706.5,0.704,0.734,99.7,2014.5,104.0,2100.9,257,15,108,365,3000.0,58319.0,111.8,2172.7,0.289,0.347,33.3,648.0,40.0,777.6,26,15,64,90
38527,Stunning Ocean Views from a Villa in Conchas Chinas,Entire home,entire_home,https://a0.muscache.com/im/pictures/824e820b-0f22-46bf-97ca-be2d16be8114.jpg,116,82705,Haniel,"","",true,20.5882,-105.2444,12,5,7,6.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Free street parking,Outdoor furniture,Hot tub,Hammock,Indoor fireplace,Heating,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Cleaning before checkout",true,false,4,Strict,MXN,0,0,108,4.99,5.0,5.0,5.0,5.0,4.9,4.9,346555.0,6979228.0,1256.4,25220.8,0.723,0.761,949.5,19121.2,998.7,20113.0,264,18,101,365,47332.0,920091.0,939.2,18257.6,0.544,0.59,525.9,10223.2,570.3,11085.4,49,7,41,90
46501,Take in Panoramic Views of Banderas Bay from Villa Azul,Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDY1MDE%3D/original/dda17740-2cfc-449f-8e13-c2685a2f6192.jpeg,67,82705,Haniel,"","",true,20.5894,-105.2414,16,8,8,8.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Smoking allowed,Ceiling fan,Conditioner,Free street parking,Outdoor furniture,Indoor fireplace,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Sound system,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Luggage dropoff allowed,Safe,Dining table,Barbecue utensils,Sun loungers",false,false,4,Strict,MXN,0,0,256,4.96,4.9,4.9,4.9,4.9,4.9,4.9,388884.0,7809839.0,1376.9,27670.3,0.77,0.0,1065.4,21396.8,0.0,0.0,281,0,84,365,66487.0,1292449.0,1012.3,19678.0,0.733,0.0,738.7,14360.5,0.0,0.0,66,0,24,90
76259,1 bedroom beachfront condos,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-76259/original/6075964f-494a-48b1-b58e-3096ef68a8b7.jpeg,41,82705,Haniel,"","",true,20.5971,-105.2393,3,1,1,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Resort access,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Coffee,Clothing storage,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Sun loungers",false,false,1,Strict,MXN,0,0,132,4.81,4.9,4.9,4.9,4.9,4.9,4.8,45822.0,922271.0,218.9,4397.3,0.567,0.627,125.5,2526.8,138.9,2794.8,207,35,158,365,7888.0,153334.0,179.5,3490.2,0.489,0.0,87.6,1703.7,0.0,0.0,44,0,46,90
76269,1 BR Vallarta Shores beachfront Suite #3,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/19febf3c-88a3-4bc9-81db-27f6e568d252.jpg,28,82705,Haniel,"","",true,20.5971,-105.2393,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Resort access,Elevator,Bed linens,Extra pillows and blankets,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",false,false,1,Strict,MXN,0,0,70,4.84,4.9,4.9,4.9,5.0,4.8,4.8,42976.0,877266.0,240.6,4844.5,0.403,0.697,117.7,2403.5,203.7,4157.7,147,154,218,365,1208.0,23483.0,166.2,3231.0,0.067,0.182,13.4,260.9,36.6,711.6,6,57,84,90
76271,2 BR Vallarta Shores beachfront Suite #7,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/034285b7-18d5-4993-b243-1bbd53175d76.jpg,31,82705,Haniel,"","",true,20.5971,-105.2393,4,2,2,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water,Resort access,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Beach essentials,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",false,false,1,Strict,MXN,0,0,143,4.81,4.8,4.9,4.8,4.9,4.8,4.8,90992.0,1842312.0,353.6,7107.7,0.671,0.754,249.3,5047.4,280.0,5668.7,245,40,120,365,9961.0,193632.0,275.8,5361.7,0.422,0.585,110.7,2151.5,153.2,2979.0,38,25,52,90
