listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
208788,Casa Coronado -Tiny house on the sand in Rosarito.,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/7f4ab56c-ce00-4cca-976e-7ed433c13769.jpg,27,1025946,Lizzie,"","",false,32.3410,-117.0587,2,1,1,1.0,false,"TV,Cable TV,Wifi,Waterfront,Kitchen,Free parking on premises,Pets allowed,Hot water,Free street parking,Outdoor furniture,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Beach access,Smoke alarm,BBQ grill,Patio or balcony,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers",true,false,1,Firm,MXN,50,0,380,4.69,4.7,4.8,4.5,4.9,4.8,4.5,8472.0,168938.0,142.4,2841.6,0.162,0.0,23.2,462.8,0.0,0.0,59,0,306,365,2282.0,44362.0,151.7,2948.3,0.167,0.0,25.4,492.9,0.0,0.0,15,0,75,90
830994,Rental in a warm Mexican town 2 beds one bath,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b8e1a2ea-8b76-4b2e-9ca2-3b6979c87b1f.jpg,22,2677660,Patricia,"","",false,32.3502,-117.0557,4,2,4,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Pets allowed,Conditioner,Free street parking,Laundromat nearby,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",true,,2,Flexible,MXN,40,0,74,4.78,4.8,4.9,4.9,4.9,4.7,4.7,5083.0,98809.0,256.9,5101.5,0.041,0.0,13.9,270.7,0.0,0.0,15,0,350,365,1356.0,26360.0,349.0,6784.9,0.044,0.0,15.1,292.9,0.0,0.0,4,0,86,90
2139440,RELAXING BEACH HOUSE (NEAR ALL ATTRACTIONS),Entire home,entire_home,https://a0.muscache.com/im/pictures/29100043/44228259_original.jpg,27,10917714,Alicia,"","",false,32.3511,-117.0654,6,3,3,2.0,false,"TV,Cable TV,Wifi,Pool,Kitchen,Free parking on premises,Portable fans,Ceiling fan,Pets allowed,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Indoor fireplace,Coffee,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Iron,Freezer,Private entrance,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Safe,Dining table,Barbecue utensils,Toaster",false,,2,Flexible,MXN,49,0,39,4.82,4.8,4.9,4.8,4.8,4.9,4.7,5254.0,104311.0,325.6,6508.8,0.044,0.0,14.4,285.8,0.0,0.0,16,0,349,365,986.0,19166.0,325.5,6327.8,0.033,0.0,11.0,213.0,0.0,0.0,3,0,87,90
2829128,Gaviotas comfortable home for family and friends,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2829128/original/74308006-f809-4da3-b96a-c34441cfed5b.jpeg,50,14472304,Max,"","",false,32.2543,-116.9650,8,4,6,4.0,false,"TV,Cable TV,Wifi,Waterfront,Pool,Kitchen,Free parking on premises,Hot water kettle,Resort access,Outdoor furniture,Hot tub,Cleaning products,Heating,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Safe,Cleaning before checkout,Dining table,Outdoor playground,Baking sheet,Barbecue utensils,Toaster",false,,2,Strict,MXN,65,0,70,4.97,5.0,5.0,5.0,5.0,5.0,4.9,34103.0,687189.0,513.8,10277.4,0.181,0.19,93.4,1882.7,98.0,1974.7,66,17,299,365,2970.0,57734.0,495.1,9624.5,0.067,0.078,33.0,641.5,38.6,749.8,6,13,84,90
2864178,Comfortable House in Gated Beach Community,Entire home,entire_home,https://a0.muscache.com/im/pictures/37082620/d755b24f_original.jpg,20,14639115,Denise,"","",true,32.3507,-117.0645,6,3,3,2.0,false,"Stove,TV,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Patio or balcony,Pool,Kitchen,Free parking on premises,Hangers,Hair dryer,Hot water,Iron,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven",false,false,2,Strict,MXN,60,0,139,4.78,4.9,5.0,4.8,4.9,4.9,4.9,18997.0,375632.0,139.5,2788.2,0.375,0.0,52.0,1029.1,0.0,0.0,137,0,228,365,4664.0,90665.0,135.2,2628.2,0.389,0.0,51.8,1007.4,0.0,0.0,35,0,55,90
3471648,Oceanfront Home with Private Pool and Hot Tub,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzQ3MTY0OA%3D%3D/original/22ea481c-b2cd-43ee-b5f2-672ace9ade58.jpeg,35,1335873,Shane,"","",true,32.3304,-117.0547,12,4,10,4.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Pets allowed,Conditioner,Mini fridge,Free street parking,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Sound system,Children’s books and toys,Blender,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",true,false,1,Strict,MXN,150,0,385,4.83,4.9,4.9,4.9,4.8,4.9,4.7,78812.0,1564616.0,489.2,9742.4,0.436,0.0,215.9,4286.6,0.0,0.0,159,0,206,365,24611.0,478418.0,509.8,9910.5,0.533,0.0,273.5,5315.8,0.0,0.0,48,0,42,90
4967739,Rancho Callado - Pai Pai Cabin (Pai Pai Ranch),Entire cabin,entire_home,https://a0.muscache.com/im/pictures/060a6240-6b37-42dd-b70b-7fa1a13fad72.jpg,40,25609769,Ricardo,"","",false,32.2836,-116.8652,10,2,7,1.0,false,"Children’s books and toys,Fireplace guards,Kitchen,Free parking on premises,Bikes,Paid parking off premises,Children’s dinnerware,Pets allowed,Hot water,Body soap,Bed linens,Extra pillows and blankets,Outdoor furniture,Hammock,Coffee maker,Indoor fireplace,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Single level home,BBQ grill,Exercise equipment,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Outdoor dining area,Private entrance,Bathtub",true,false,2,Moderate,MXN,0,0,39,4.87,4.9,4.9,4.6,5.0,4.8,4.8,4415.0,90229.0,319.0,6385.1,0.036,0.0,12.1,247.2,0.0,0.0,13,0,352,365,0.0,0.0,284.7,5534.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
5337823,Hacienda Los Arcos,Entire home,entire_home,https://a0.muscache.com/im/pictures/73c8151f-a5ec-4a19-8173-b02eba96a185.jpg,34,19138737,Hector,"","",true,32.3348,-117.0517,16,4,8,7.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Hot tub,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Smoke alarm,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Lock on bedroom door,Hair dryer,Iron,Private entrance",true,false,2,Firm,MXN,100,0,108,4.9,4.8,5.0,4.9,5.0,5.0,4.8,54027.0,1073607.0,865.4,17325.5,0.175,0.186,148.0,2941.4,156.6,3111.9,64,20,301,365,13431.0,261087.0,777.0,15104.6,0.189,0.0,149.2,2901.0,0.0,0.0,17,0,73,90
5353932,Amazing Ocean Front House Rosarito,Entire home,entire_home,https://a0.muscache.com/im/pictures/66880284/9f09bfe9_original.jpg,54,1398872,Lourdes,"","",false,32.3172,-117.0489,6,3,4,3.0,false,"TV,Wifi,Pool,Kitchen,Free parking on premises,Hot water,Bed linens,Microwave,Cleaning products,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Private entrance",false,false,2,Firm,MXN,85,0,456,4.78,4.8,4.9,4.7,4.8,4.9,4.8,33052.0,657520.0,216.6,4326.0,0.414,0.0,90.6,1801.4,0.0,0.0,151,0,214,365,6551.0,127346.0,213.1,4142.3,0.333,0.0,72.8,1415.0,0.0,0.0,30,0,60,90
5825778,Ocean Front Beach House,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/fddb0c38-197a-4977-819d-4c8b0c55d927.jpg,23,12213295,Beth,"","",true,32.3446,-117.0609,2,1,1,1.0,false,"TV,Beach access,Smoke alarm,Wifi,Carbon monoxide alarm,Patio or balcony,Backyard,Kitchen,Essentials,Free parking on premises,Shampoo,Pets allowed,Hot water,Outdoor furniture,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics",true,false,1,Strict,MXN,65,0,731,4.91,4.9,4.9,4.9,4.9,4.9,4.8,8359.0,167107.0,156.4,3122.3,0.137,0.0,22.9,457.8,0.0,0.0,50,0,315,365,2667.0,51844.0,169.2,3289.1,0.133,0.0,29.6,576.0,0.0,0.0,12,0,78,90
6028890,"Cal-kg bed, 1 b Ocean view Cottage",Entire villa,entire_home,https://a0.muscache.com/im/pictures/76578793/7fc10bd8_original.jpg,17,16018030,Irene,"","",true,32.2538,-116.9636,2,1,1,1.0,false,"TV,Cable TV,Wifi,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Ceiling fan,Hot water,Body soap,Conditioner,Extra pillows and blankets,Free street parking,Hot tub,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Private entrance,Toaster",true,false,2,Strict,MXN,25,0,226,4.93,4.9,5.0,4.9,5.0,4.9,4.9,9472.0,187742.0,117.1,2339.7,0.219,0.222,26.0,514.4,26.2,520.1,80,4,285,365,2998.0,58277.0,120.2,2337.2,0.278,0.0,33.3,647.5,0.0,0.0,25,0,65,90
6075418,K38 Oceanfront 2-Story Villa Club Marena Paradise!,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/47cdf108-2bbc-41d5-a376-4c2208b31096.jpg,34,19836462,Michaela,"","",true,32.2602,-116.9853,5,2,2,2.5,false,"TV,Cable TV,Wifi,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Resort access,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Children’s books and toys,Blender,Window guards,Table corner guards,Babysitter recommendations,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",true,false,1,Strict,MXN,75,0,208,4.93,4.9,4.9,4.9,5.0,5.0,4.8,38685.0,766621.0,309.9,6197.4,0.323,0.336,106.0,2100.3,110.2,2184.1,118,14,247,365,13211.0,256811.0,299.8,5827.2,0.444,0.0,146.8,2853.5,0.0,0.0,40,0,50,90
6213265,Quinta del Mar Rosarito Beach Front House,Entire home,entire_home,https://a0.muscache.com/im/pictures/ad7195b6-d9e6-450b-9d2d-c6e1f09c283a.jpg,45,32212760,Arlene,"","",false,32.3510,-117.0648,9,3,4,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Hot water,Outdoor furniture,Hot tub,Indoor fireplace,Fire pit,Heating,Cooking basics,Smoke alarm,BBQ grill,Carbon monoxide alarm,Fire extinguisher,Dedicated workspace,Outdoor dining area",false,false,2,Strict,MXN,100,0,107,4.53,4.5,4.8,4.5,4.5,5.0,4.5,7965.0,158086.0,221.0,4414.1,0.099,0.105,21.8,433.1,23.3,462.2,36,23,329,365,1388.0,26982.0,225.3,4379.0,0.067,0.068,15.4,299.8,15.8,306.6,6,2,84,90
6380678,La Paloma 2 Bdrm Condo Resort,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-6380678/original/a38c8569-6fb7-48c0-91bb-46eecb5f8d24.png,17,9296727,Jesse,"","",true,32.3299,-117.0496,6,2,3,2.0,false,"TV,Cable TV,Wifi,Pool,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water,Gym,Elevator,Hot tub,Heating,Cooking basics,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",false,,2,Strict,MXN,99,0,6,5.0,5.0,4.3,5.0,4.3,5.0,4.7,5505.0,109674.0,196.6,3937.1,0.079,0.083,15.1,300.5,15.7,312.5,29,14,336,365,903.0,17553.0,174.2,3387.0,0.056,0.0,10.0,195.0,0.0,0.0,5,0,85,90
6560808,Charming Ocean Front House,Entire home,entire_home,https://a0.muscache.com/im/pictures/104323587/9c39ebc3_original.jpg,13,34205699,Claudine,"","",true,32.3410,-117.0591,8,3,7,2.0,false,"TV,Wifi,Waterfront,Kitchen,Free parking on premises,Portable fans,Ceiling fan,Conditioner,Free street parking,Indoor fireplace,Coffee,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Freezer,Private entrance,Fireplace guards,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Barbecue utensils,Toaster",true,false,1,Moderate,MXN,50,0,187,4.8,4.8,4.9,4.8,4.9,4.9,4.7,12052.0,238480.0,220.3,4398.3,0.145,0.0,33.0,653.4,0.0,0.0,53,0,312,365,3915.0,76106.0,224.9,4372.7,0.178,0.0,43.5,845.6,0.0,0.0,16,0,74,90
6627003,Las Gaviotas 3BR Surf Retreat; IG: Casa.Nomani,Entire home,entire_home,https://a0.muscache.com/im/pictures/83526843/f13477bc_original.jpg,23,34686521,Brian,5885344,Arianna,true,32.2546,-116.9632,6,3,5,2.0,false,"TV,Cable TV,Wifi,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Free street parking,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Carbon monoxide alarm,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Baby bath,High chair,Children’s books and toys,Blender,Room-darkening shades,Children’s dinnerware,Game console,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Dining table,Outdoor playground,Barbecue utensils,Sun loungers,Toaster",true,false,2,Moderate,MXN,80,0,234,4.86,4.9,4.9,4.7,5.0,5.0,4.9,32887.0,655490.0,196.1,3916.7,0.452,0.456,90.1,1795.9,90.8,1810.7,165,3,200,365,6871.0,133565.0,201.3,3912.6,0.378,0.391,76.3,1484.1,79.0,1535.2,34,3,56,90
7343983,Rosarito Beach ON THE SAND. Sleeps 30!,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-7343983/original/82f23b54-0d6e-4171-bc08-ee71cb23303a.jpeg,76,38468125,Margarita,"","",true,32.3610,-117.0689,16,4,21,4.0,false,"TV,Cable TV,Wifi,Waterfront,Kitchen,Board games,Free parking on premises,Hot water kettle,Pool table,Paid parking off premises,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Pets allowed,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Indoor fireplace,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Sound system,Bathtub,Children’s books and toys,Blender,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Piano,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",true,false,3,Strict,MXN,200,0,231,4.9,4.9,5.0,4.9,5.0,4.9,4.8,96255.0,1899387.0,1155.6,23130.4,0.233,0.0,263.7,5203.8,0.0,0.0,85,0,280,365,26349.0,512201.0,1105.4,21487.7,0.244,0.0,292.8,5691.1,0.0,0.0,22,0,68,90
7790926,Exclusive Luxury Ocean Front Retreat -Rosarito MX,Entire condo,entire_home,https://a0.muscache.com/im/pictures/105581582/ae2d8739_original.jpg,46,41004925,David And Tessa,"","",false,32.3358,-117.0590,5,2,2,2.0,false,"TV,Blender,Wifi,Waterfront,Pool,Kitchen,Free parking on premises,Room-darkening shades,Portable fans,Smoking allowed,Hot water,Gym,Elevator,Extra pillows and blankets,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Freezer,Toaster",false,false,2,Strict,MXN,50,0,363,4.77,4.8,4.9,4.7,4.8,4.8,4.7,10971.0,215453.0,179.8,3591.3,0.159,0.0,30.1,590.3,0.0,0.0,58,0,307,365,5079.0,98732.0,193.3,3757.6,0.267,0.0,56.4,1097.0,0.0,0.0,24,0,66,90
