listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
269854,3 BD Suite Ocean View near the beach & Art Walk,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/24113169/e00f4232_original.jpg,21,189131,Nogasa,"","",false,23.0505,-109.6953,6,3,3,1.0,false,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Gym,Elevator,Free street parking,Hot tub,Washer,Dryer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Mini golf,Bathtub,High chair,Crib,Pack ’n play/Travel crib,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,BBQ grill,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe",false,,2,Moderate,MXN,0,0,7,4.57,4.1,4.7,4.3,4.6,4.7,4.3,5908.0,121593.0,467.4,9355.4,0.033,0.034,16.2,333.1,16.8,345.4,12,13,353,365,0.0,0.0,434.6,8447.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
269859,Perfect Suite for family with stunning ocean view,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/24199615/c3e96997_original.jpg,21,189131,Nogasa,"","",false,23.0527,-109.6954,4,2,2,2.0,false,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Gym,Resort access,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Coffee,Clothing storage,Wine glasses,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Sound system,Bathtub,Blender,Babysitter recommendations,Crib,Room-darkening shades,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Barbecue utensils,Toaster",false,,2,Moderate,MXN,81,0,21,4.71,4.6,4.9,4.6,4.6,4.7,4.7,6236.0,123810.0,392.3,7864.2,0.047,0.052,17.1,339.2,19.0,377.5,17,37,348,365,3675.0,71438.0,339.0,6590.1,0.122,0.0,40.8,793.8,0.0,0.0,11,0,79,90
294370,Miravista Beachfront Condo,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3076806/65e0f6a5_original.jpg,8,1509999,Robert,"","",false,23.0305,-109.7149,2,1,1,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Hot water,Body soap,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Laundromat nearby,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Beach access,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Hangers,Iron,Outdoor dining area,Freezer",true,,7,Strict,MXN,55,0,37,4.81,4.9,4.8,4.5,5.0,4.9,4.8,7781.0,159349.0,112.8,2257.7,0.184,0.254,21.3,436.6,29.5,603.6,67,101,298,365,0.0,0.0,106.8,2075.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
358390,Beachfront San Jose del Cabo condo.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/4000016/ab8722c3_original.jpg,49,1814209,Nancy,"","",false,23.0351,-109.7108,2,1,1,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Conditioner,Laundromat nearby,Outdoor furniture,Cleaning products,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Dining table,Barbecue utensils,Sun loungers,Toaster",false,false,4,Firm,MXN,60,0,77,4.91,4.9,5.0,5.0,5.0,4.9,4.9,28357.0,577007.0,157.2,3140.8,0.499,0.54,77.7,1580.8,84.1,1712.2,182,28,183,365,0.0,0.0,161.9,3146.6,0.0,0.0,0.0,0.0,0.0,0.0,0,18,90,90
454805,Beachfront Poolside Condo with Spectacular View,Entire condo,entire_home,https://a0.muscache.com/im/pictures/11665132/a28f8b3e_original.jpg,29,11428344,Danielle,1936815,Judy,false,22.9771,-109.7735,4,1,3,1.0,false,"TV,Wifi,Waterfront,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Conditioner,Elevator,Outdoor furniture,Hot tub,Washer,Dryer,Beach access,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Blender,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Beach essentials,Luggage dropoff allowed,Barbecue utensils,Sun loungers,Toaster",false,false,3,Moderate,MXN,75,0,62,4.95,4.9,4.9,4.9,5.0,4.9,4.9,16937.0,347350.0,172.1,3443.8,0.258,0.297,46.4,951.6,53.4,1095.7,94,48,271,365,0.0,0.0,151.0,2934.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
495711,Mykonos Beach Resort - Grd Floor End Unit,Entire condo,entire_home,https://a0.muscache.com/im/pictures/29543926/11e96a53_original.jpg,86,2448361,Dennis,"","",false,23.0325,-109.7135,4,1,2,1.0,false,"TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Gym,Elevator,Free street parking,Outdoor furniture,Hot tub,Heating,Coffee,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Children’s books and toys,Crib,Pack ’n play/Travel crib,Children’s dinnerware,Hot water,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed",true,false,4,Firm,MXN,75,0,62,4.89,4.8,4.9,4.9,4.9,4.9,4.9,25782.0,525636.0,165.8,3318.4,0.414,0.481,70.6,1440.1,82.1,1674.0,151,51,214,365,280.0,5443.0,157.7,3066.4,0.022,0.051,3.1,60.5,7.2,139.6,2,51,88,90
555701,Casa Helios-OceanView PalmillaBeach,Entire villa,entire_home,https://a0.muscache.com/im/pictures/7ea44e1d-70de-4416-a5f1-2d79115b54a2.jpg,27,2688060,Anandita,"","",false,22.9971,-109.7285,10,4,4,4.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Free street parking,Outdoor furniture,Hot tub,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Sound system,Blender,Babysitter recommendations,Room-darkening shades,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Barbecue utensils,Toaster",false,false,3,Firm,MXN,200,0,37,4.92,5.0,5.0,4.9,5.0,4.9,4.8,70089.0,1398353.0,715.3,14323.4,0.263,0.403,192.0,3831.1,294.5,5875.4,96,127,269,365,15858.0,308265.0,636.9,12380.3,0.278,0.51,176.2,3425.2,323.6,6291.1,25,41,65,90
613431,A Traveler´s place in  San José  Downtown Core!,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-613431/original/ce4859e9-b97d-4f57-b15b-93f94010ef71.jpeg,97,3042457,Señor,230526625,Cinthya Adriana,false,23.0630,-109.6938,,,1,0.0,false,"Wifi,Air conditioning,Kitchen,Paid parking off premises,Smoking allowed,Ceiling fan,Pets allowed,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Sound system,Children’s books and toys,Window guards,Babysitter recommendations,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Barbecue utensils,Sun loungers",false,false,1,Moderate,MXN,0,0,91,4.33,4.4,4.8,4.3,4.8,4.8,4.3,2056.0,41882.0,56.3,1129.0,0.093,0.0,5.6,114.7,0.0,0.0,34,0,331,365,102.0,1983.0,46.1,897.0,0.022,0.0,1.1,22.0,0.0,0.0,2,0,88,90
698290,Cabo best deal per night or week!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/bfd04f19-23c4-44ee-a27b-a5edff7b258f.jpg,34,3578992,Rubén Eduardo,"","",false,23.0489,-109.7076,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Ceiling fan,Hot water,Conditioner,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Sun loungers,Toaster",false,false,1,Moderate,MXN,25,0,237,4.77,4.9,4.8,4.7,4.8,4.6,4.9,5641.0,115151.0,77.6,1548.8,0.205,0.503,15.5,315.5,37.9,772.8,75,216,290,365,510.0,9914.0,81.5,1583.7,0.067,0.105,5.7,110.2,8.9,173.9,6,33,84,90
761750,modern desert beach house,Entire home,entire_home,https://a0.muscache.com/im/pictures/5def03cb-662d-4856-82ab-6c354ecfb6cd.jpg,52,4014882,Shelly Denise,"","",false,23.0743,-109.6358,4,3,3,3.0,false,"TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Conditioner,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Rice maker,Outlet covers,Blender,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",false,false,5,Firm,MXN,220,0,75,4.92,4.9,5.0,4.9,5.0,4.9,5.0,86358.0,1775074.0,582.8,11656.5,0.397,0.879,236.6,4863.2,523.4,10758.0,145,200,220,365,0.0,0.0,555.6,10801.2,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
