listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
228398,"On the Ocean, Fantastic Snorkeling",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3b044b95-164c-4197-81ff-7d796e376048.jpg,29,1024470,Enjoy,"","",true,20.5442,-86.9297,6,3,4,4.0,false,"TV,Washer,Cable TV,Dryer,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Elevator",false,,7,Strict,MXN,0,0,38,4.92,5.0,4.9,4.8,4.9,4.9,4.9,4895.0,99393.0,417.4,8359.4,0.03,0.044,13.4,272.3,19.7,400.8,11,117,354,365,0.0,0.0,373.2,7253.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
354251,Cozumel 2 ROOMS IN PARADISE,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/101597732/af15b96c_original.jpg,33,1793253,Alejandro,"","",false,20.4968,-86.9474,,2,2,0.0,false,"TV,Wifi,Air conditioning,Pool,Luggage dropoff allowed,Essentials,Shampoo,Smoking allowed,Hangers,Hot water,Free street parking,Microwave,Coffee maker,Refrigerator",false,,3,Moderate,MXN,20,0,87,4.79,4.7,4.9,4.7,4.9,4.4,4.8,833.0,17186.0,71.1,1421.0,0.033,0.0,2.3,47.1,0.0,0.0,12,0,353,365,0.0,0.0,70.4,1367.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
371391,1 Bedroom Apartment Cozumel Mexico,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/8f899aa6-3e51-4e3f-8101-2029ac1b9520.jpg,17,1870563,Ana Lilia G,"","",true,20.5001,-86.9592,5,2,3,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Books and reading material,Ceiling fan,Resort access,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Life size games,Outdoor dining area,Private entrance,Blender,Window guards,Babysitter recommendations,Crib,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Safe,Outdoor playground,Barbecue utensils,Sun loungers,Toaster",false,false,1,Flexible,MXN,0,0,38,4.89,4.7,5.0,5.0,5.0,4.9,4.8,16526.0,335174.0,128.5,2574.3,0.332,0.0,45.3,918.3,0.0,0.0,121,0,244,365,827.0,16076.0,110.6,2149.3,0.078,0.0,9.2,178.6,0.0,0.0,7,0,83,90
672880,Luna Room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjcyODgw/original/f932e84d-dc6a-47bb-b412-de60d705f61b.jpeg,36,1870563,Ana Lilia G,"","",true,20.4998,-86.9590,,,1,0.0,false,"Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Ceiling fan,Resort access,Conditioner,Mini fridge,Free street parking,Outdoor furniture,Hammock,Cleaning products,Clothing storage,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Baby bath,High chair,Children’s books and toys,Window guards,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Piano,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Barbecue utensils",false,,2,Flexible,MXN,10,0,35,4.74,4.7,4.9,5.0,4.8,4.6,4.7,2080.0,41629.0,88.1,1763.9,0.066,0.071,5.7,114.1,6.1,122.4,24,25,341,365,640.0,12444.0,79.6,1547.2,0.089,0.0,7.1,138.3,0.0,0.0,8,0,82,90
770900,"Casa Cascada Private House, Pool, Hot Tub, Rooftop",Entire home,entire_home,https://a0.muscache.com/im/pictures/471a0503-78e5-45ac-99d7-f3a879719885.jpg,38,4066734,Denise,"","",true,20.4981,-86.9564,8,3,5,3.5,false,"High chair,TV,Cable TV,Children’s books and toys,Wifi,Air conditioning,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Children’s dinnerware,Pets allowed,Hot water,Free street parking,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",true,false,3,Firm,MXN,250,0,82,4.8,4.8,4.9,4.8,4.9,4.9,4.8,30467.0,615225.0,137.9,2752.9,0.638,0.673,83.5,1685.5,88.1,1778.1,233,19,132,365,3718.0,72274.0,168.3,3271.4,0.278,0.352,41.3,803.0,52.4,1017.9,25,19,65,90
803741,"Mini-Resort, FREE Coffee, Closest Beach",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-803741/original/97827df3-f45e-4eb1-ba61-3efbc71bef14.jpeg,27,4230106,Silvia,225782221,Greg,true,20.5056,-86.9504,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Free parking on premises,Ceiling fan,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Coffee maker,Dishes and silverware,Patio or balcony,Backyard,Long term stays allowed,Safe,Dining table,Sun loungers",true,false,3,Firm,MXN,0,0,229,4.94,5.0,5.0,5.0,5.0,4.8,5.0,17124.0,345350.0,71.5,1433.6,0.644,0.699,46.9,946.2,51.0,1027.8,235,29,130,365,2553.0,49626.0,65.0,1262.6,0.433,0.0,28.4,551.4,0.0,0.0,39,0,51,90
849413,FREE Coffee | Walk to Sea | 800 Mbps,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-849413/original/8ea50bba-36ff-4133-8115-bd7957a591d6.jpeg,28,4230106,Silvia,225782221,Greg,true,20.5056,-86.9504,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Free parking on premises,Ceiling fan,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Coffee maker,Dishes and silverware,Patio or balcony,Backyard,Long term stays allowed,Safe,Dining table,Sun loungers",true,false,3,Firm,MXN,0,0,123,4.93,4.9,5.0,5.0,5.0,4.8,4.9,13011.0,261005.0,71.4,1429.5,0.507,0.597,35.6,715.1,42.0,842.0,185,55,180,365,2668.0,51863.0,66.1,1285.1,0.456,0.0,29.6,576.3,0.0,0.0,41,0,49,90
971390,Casa Suzana,Entire home,entire_home,https://a0.muscache.com/im/pictures/57847747/46bec4ab_original.jpg,12,5310114,Your Cozumel Vacations,"","",true,20.4875,-86.9571,6,3,,0.0,false,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Hangers,Hair dryer,Cooking basics",false,,3,Firm,MXN,25,0,9,5.0,5.0,4.9,4.9,5.0,4.6,4.8,8151.0,168470.0,221.0,4424.4,0.096,0.102,22.3,461.6,23.8,492.6,35,23,330,365,0.0,0.0,203.7,3960.6,0.0,0.0,0.0,0.0,0.0,0.0,0,23,90,90
1008463,The House of Mirrors,Entire home,entire_home,https://a0.muscache.com/im/pictures/15154257/bf1175db_original.jpg,35,4886296,Marco,"","",false,20.5026,-86.9476,6,3,3,4.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Essentials,Hangers,Iron,Dedicated workspace,Private entrance",false,false,3,Strict,MXN,0,0,246,4.9,4.9,5.0,4.8,5.0,4.9,4.8,43017.0,864169.0,199.5,3995.0,0.581,0.599,117.9,2367.6,121.5,2441.2,212,11,153,365,7327.0,142428.0,165.1,3208.7,0.478,0.544,81.4,1582.5,92.7,1802.9,43,11,47,90
1421950,"King Bed 3S Fast Wi-Fi, Kitchen, Pool, Garden",Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1421950/original/5b131d2d-a7e6-43f6-afd1-13ce01c8006a.jpeg,29,7654372,Sherri,"","",true,20.5016,-86.9429,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Clothing storage,Washer,Dryer,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Blender,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Barbecue utensils,Toaster",false,false,6,Strict,MXN,0,0,62,4.82,4.9,5.0,4.9,5.0,4.7,4.8,3184.0,65765.0,68.3,1371.1,0.104,0.0,8.7,180.2,0.0,0.0,38,0,327,365,0.0,0.0,54.7,1062.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
