listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
68616,Petit Hotel Hafa - Room 1,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/3080bcd6-2ec0-4326-84cb-0153898a5e98.jpg,14,341037,Mariana,"","",true,20.8681,-105.4422,3,1,2,1.0,false,"Wifi,Air conditioning,Pool,Ceiling fan,Pets allowed,Hot water,Conditioner,Mini fridge,Free street parking,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers",false,,2,Strict,MXN,0,0,9,4.11,4.4,4.8,4.9,4.7,4.4,4.3,1313.0,26823.0,97.3,1945.4,0.041,0.0,3.6,73.5,0.0,0.0,15,0,350,365,0.0,0.0,96.8,1882.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
197507,Sweet Garden-level Apt. Near Hidden Beaches,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-197507/original/a2c97f3c-63d1-4fdb-be96-73413251fed3.jpeg,32,962126,L.A. & Martin,105415433,Piers,false,20.8605,-105.4461,2,1,1,1.0,false,"Wifi,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Blender,Window guards,Babysitter recommendations,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,EV charger,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",false,,3,Moderate,MXN,0,0,112,4.41,4.4,4.8,4.2,4.8,4.0,4.5,670.0,13733.0,53.9,1080.4,0.03,0.0,1.8,37.6,0.0,0.0,11,0,354,365,0.0,0.0,45.5,885.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
256781,Casa Coco  Ocean/Jungle view Studio,Entire loft,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-256781/original/cdfd91c8-7549-404f-8817-1b497976a3d4.jpeg,17,1350907,Camille,"1411705,125558251","Jorge,Tom",false,20.8732,-105.4334,2,,1,1.0,false,"Wifi,Air conditioning,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Stove,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Beach essentials,Fire extinguisher,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Private entrance,Toaster",false,true,2,Super Strict 30 Days,MXN,85,0,201,4.75,4.8,4.7,4.9,4.7,4.7,4.7,9663.0,197675.0,103.0,2072.2,0.236,0.0,26.5,541.6,0.0,0.0,86,0,279,365,356.0,6922.0,75.0,1458.6,0.056,0.0,4.0,76.9,0.0,0.0,5,0,85,90
261966,Casa Petate Sayulita Surf Retreat,Entire home,entire_home,https://a0.muscache.com/im/pictures/e0a22e39-4e9c-4de2-9a9e-78b5dbbb4258.jpg,64,312619,Lauren,"","",false,20.8694,-105.4379,6,2,4,2.0,false,"Blender,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Hot water,Body soap,Resort access,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Beach access,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance",false,,3,Moderate,MXN,50,0,119,4.53,4.7,4.9,4.7,4.8,4.6,4.6,27353.0,560687.0,365.2,7300.3,0.203,0.223,74.9,1536.1,82.4,1688.8,74,33,291,365,0.0,0.0,362.7,7051.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
317915,"Bohemian Rustic 2-Floor Suite, Walk to Plaza/Beach",Entire villa,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-317915/original/8f99eea5-9273-4f07-a962-51f01a9ba7cc.jpg,57,962126,Martin,"105415433,206845498","Piers,Tiffany",false,20.8593,-105.4457,10,3,6,2.0,false,"Wifi,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Theme room,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Outlet covers,Blender,Window guards,Babysitter recommendations,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Single level home,BBQ grill,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Children's playroom,Dining table,Baking sheet,Barbecue utensils,Toaster",false,false,5,Moderate,MXN,25,0,118,4.53,4.7,4.8,4.5,4.8,4.3,4.7,3768.0,77223.0,116.3,2332.8,0.079,0.0,10.3,211.6,0.0,0.0,29,0,336,365,211.0,4101.0,99.6,1936.3,0.022,0.0,2.3,45.6,0.0,0.0,2,0,88,90
394186,"Cheery 1 bdrm casita, great pool, beach 4 blocks",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b1cd762d-af73-460d-b7c8-cb4d038fa0cd.jpg,31,1930030,Beth,"","",false,20.8693,-105.4351,3,1,2,1.0,false,"Wifi,Pool,Kitchen,Free parking on premises,Portable fans,Ceiling fan,Hot water,Body soap,Extra pillows and blankets,Free street parking,Laundromat nearby,Outdoor furniture,Microwave,Hammock,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Beach access,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Beach essentials,Essentials,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Toaster",false,,5,Super Strict 60 Days,MXN,50,0,129,4.87,4.9,4.9,4.8,5.0,4.6,4.8,9269.0,190644.0,109.4,2194.4,0.211,0.345,25.4,522.3,41.6,854.9,77,142,288,365,0.0,0.0,88.7,1724.6,0.0,0.0,0.0,0.0,0.0,0.0,0,35,90,90
401614,pad in paradise,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-401614/original/1aa8eb15-ee0b-4960-88af-84025da292c7.jpeg,44,2004601,Daniel,47850417,Anna,true,20.8697,-105.4355,4,2,2,2.0,false,"Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,BBQ grill,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Private entrance",false,false,5,Firm,MXN,75,0,62,4.68,4.8,4.9,4.5,4.9,4.8,4.7,18563.0,373600.0,154.5,3097.2,0.329,0.358,50.9,1023.6,55.4,1115.2,120,30,245,365,1890.0,36741.0,133.7,2599.0,0.122,0.151,21.0,408.2,25.9,503.3,11,17,79,90
523625,Breathtaking Vistas of the Ocean from Casa Dos Chicos,Entire villa,entire_home,https://a0.muscache.com/im/pictures/c6d9d5b0-c4a1-40db-9553-c45e5d0f19f3.jpg,56,2574324,Patrizio & Mark,"","",false,20.8678,-105.4385,8,4,6,4.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Books and reading material,Ceiling fan,Pets allowed,Conditioner,Mini fridge,Outdoor furniture,Hot tub,Hammock,Cleaning products,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Sound system,High chair,Blender,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Barbecue utensils,Sun loungers,Toaster",false,,7,Moderate,MXN,0,0,72,4.83,5.0,5.0,5.0,5.0,4.9,4.9,34545.0,701140.0,776.7,15600.2,0.115,0.153,94.6,1920.9,126.1,2558.9,42,91,323,365,4179.0,81235.0,601.4,11691.6,0.067,0.0,46.4,902.6,0.0,0.0,6,0,84,90
525404,Breezy quiet view  - Casa Sirena at El Oasis,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTI1NDA0/original/644b8e71-2eb9-4b6b-ad55-e128a5df5d54.jpeg,18,1097346,Kirsten,102549143,David,true,20.8667,-105.4448,4,2,3,1.0,false,"Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Free street parking,Washer,Dryer,Smoke alarm,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Baby bath,Changing table,High chair,Children’s books and toys,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed",false,false,3,Firm,MXN,20,0,146,4.9,4.9,5.0,4.8,5.0,4.9,4.8,43728.0,887280.0,333.9,6682.7,0.362,0.43,119.8,2430.9,142.4,2890.2,132,58,233,365,7280.0,141518.0,298.6,5805.4,0.278,0.321,80.9,1572.4,93.3,1814.3,25,12,65,90
568692,Gorgeous Bedroom Ocean View Home,Entire condo,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-568692/original/409bb919-2285-474e-8cfe-57d22a9c090f.jpeg,13,1350907,Camille,"1411705,125558251","Jorge,Tom",false,20.8733,-105.4334,3,1,2,1.0,false,"TV,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Books and reading material,Bed linens,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Oven,Stove,Beach access,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Long term stays allowed,Hair dryer,Iron,Dedicated workspace,Toaster",false,true,2,Super Strict 30 Days,MXN,50,0,204,4.88,4.9,4.8,4.9,4.7,4.8,4.8,27312.0,553309.0,158.8,3190.5,0.466,0.0,74.8,1515.9,0.0,0.0,170,0,195,365,3050.0,59289.0,127.1,2470.9,0.267,0.0,33.9,658.8,0.0,0.0,24,0,66,90
