listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
36995,Downtown Kid-Friendly Apt w/ Private Backyard,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-36995/original/463c56e0-1b72-44fa-bff4-0e871047a6e9.jpeg,47,540340765,Alexandra,"","",false,20.2119,-87.4564,4,2,2,2.0,false,"TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Pets allowed,Resort access,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Outlet covers,Bathtub,Baby bath,Changing table,High chair,Children’s books and toys,Blender,Window guards,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Room-darkening shades,Bikes,Children’s dinnerware,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Sun loungers,Toaster",,,1,Firm,MXN,32,,61,4.84,4.9,4.8,4.8,4.9,4.9,4.8,7764.0,159618.0,149.1,3042.0,0.2,0.0,21.3,437.3,0.0,0.0,73,0,292,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
138541,Casa Vallejo Tulum Beach House,Entire home,entire_home,https://a0.muscache.com/im/pictures/33950155/9f54dcb8_original.jpg,24,676326,Susan,"","",true,20.1768,-87.4461,12,6,8,3.0,false,"Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",true,false,3,Firm,MXN,5,0,101,4.86,4.9,4.9,4.9,4.9,4.9,4.8,99502.0,2019921.0,928.8,18623.6,0.268,0.282,272.6,5534.0,285.9,5804.4,98,17,267,365,9480.0,184282.0,757.2,14718.4,0.133,0.0,105.3,2047.6,0.0,0.0,12,0,78,90
153193,Chill in the Plunge Pool at a Tree-top Tulum Jungle Loft,Entire loft,entire_home,https://a0.muscache.com/im/pictures/a63189e1-5280-4989-81cb-c22d12b9b83c.jpg,44,647510,Ron,"62445973,122379153","Christina,Erika",true,20.2066,-87.4769,4,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Ceiling fan,Pets allowed,Free street parking,Outdoor furniture,Hammock,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Children’s books and toys,Crib,Pack ’n play/Travel crib,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Outdoor playground,Sun loungers",false,,2,Strict,MXN,0,0,176,4.8,4.8,4.8,4.9,4.9,4.5,4.8,1580.0,32498.0,70.2,1405.4,0.068,0.106,4.3,89.0,6.7,137.7,25,129,340,365,0.0,0.0,61.9,1203.3,0.0,0.0,0.0,0.0,0.0,0.0,0,49,90,90
319827,Caribbean Beachfront Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/70d93d29-a8f2-489b-9a8e-b22627e4aeb2.jpg,50,1639293,Kerstin,"","",false,20.3724,-87.3286,6,2,3,2.0,false,"TV,Wifi,Waterfront,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Conditioner,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Kayak,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Baby bath,High chair,Children’s books and toys,Blender,Window guards,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Barbecue utensils,Sun loungers,Toaster",true,false,2,Firm,MXN,40,0,229,4.9,4.9,4.9,4.9,5.0,4.9,4.9,63160.0,1276187.0,249.4,5010.3,0.677,0.69,173.0,3496.4,176.4,3564.8,247,7,118,365,11678.0,227008.0,190.5,3702.7,0.678,0.735,129.8,2522.3,140.7,2735.0,61,7,29,90
351617,Beautiful Beachfront Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/12715149/9c524441_original.jpg,58,1639293,Kerstin,"","",false,20.3724,-87.3286,6,2,3,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Conditioner,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Kayak,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Baby bath,Children’s books and toys,Blender,Window guards,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Barbecue utensils,Sun loungers,Toaster",true,false,2,Firm,MXN,40,0,235,4.87,4.9,4.9,4.9,4.9,4.9,4.8,38868.0,791220.0,228.6,4588.4,0.436,0.0,106.5,2167.7,0.0,0.0,159,0,206,365,3674.0,71419.0,180.8,3514.4,0.222,0.0,40.8,793.5,0.0,0.0,20,0,70,90
560416,Casa Maare by Xcacel beach Chemuyil Akumal Tulum,Entire home,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-560416/original/dea30187-a496-467b-a66a-99f801fab5dc.jpeg,55,2755742,Heather,4314646,Sarah - Templeton Vacation Rentals,false,20.3432,-87.3528,4,2,3,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Heating,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Outdoor dining area,Freezer,Private entrance,Sound system,Blender,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Backyard,Beach essentials,Long term stays allowed,Dining table,Baking sheet,Toaster",true,true,5,Firm,MXN,70,0,58,4.91,5.0,4.9,4.9,5.0,4.8,4.9,6086.0,123985.0,92.0,1842.5,0.181,0.194,16.7,339.7,17.9,364.7,66,25,299,365,455.0,8845.0,92.8,1803.1,0.056,0.0,5.1,98.3,0.0,0.0,5,0,85,90
573154,Eco-villas Vida Silvestre 100 mts from the beach,Entire cabin,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-573154/original/c5271b20-c4ee-440c-ab3f-ba4cb335527e.jpeg,26,1643996,Pepe,"","",true,20.1383,-87.4634,4,1,3,2.0,false,"Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Portable fans,Smoking allowed,Ceiling fan,Pets allowed,Resort access,Conditioner,Free street parking,Outdoor furniture,Hammock,Heating,Coffee,Clothing storage,Wine glasses,Beach access,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Iron,Dedicated workspace,Outdoor dining area,Freezer,Children’s bikes,Outdoor kitchen,Private entrance,Window guards,Babysitter recommendations,Crib,Room-darkening shades,Bikes,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Barbecue utensils,Sun loungers,Toaster",true,false,1,Strict,MXN,50,0,479,4.74,4.8,4.8,4.8,4.8,4.8,4.6,14546.0,299750.0,306.9,6189.6,0.085,0.0,39.9,821.2,0.0,0.0,31,0,334,365,0.0,0.0,202.9,3944.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
880539,Caribbean Beach Studio in Akumal,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-880539/original/5500bfc2-006e-4f1c-b75e-7c6b6b9d23e1.jpeg,30,1639293,Kerstin,"","",false,20.3730,-87.3280,2,1,1,1.0,false,"Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Kayak,Hair dryer,Freezer,Private entrance,Sound system,High chair,Blender,Window guards,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Shower gel,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Barbecue utensils,Toaster",true,false,2,Firm,MXN,40,0,56,4.84,4.8,4.8,4.9,4.8,4.8,4.8,6968.0,143807.0,107.8,2158.7,0.167,0.473,19.1,394.0,54.0,1114.8,61,236,304,365,0.0,0.0,99.0,1924.6,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
882019,Luxury Beachfront Villa in Akumal,Entire villa,entire_home,https://a0.muscache.com/im/pictures/12737285/def5f747_original.jpg,40,1639293,Kerstin,"","",false,20.3758,-87.3292,8,3,5,3.0,false,"Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Conditioner,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Coffee,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Kayak,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Baby bath,Changing table,Blender,Window guards,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Barbecue utensils,Toaster",false,false,5,Firm,MXN,50,0,70,4.97,5.0,4.9,4.8,5.0,4.9,4.8,116116.0,2381737.0,654.3,13125.9,0.427,0.757,318.1,6525.3,563.7,11561.8,156,159,209,365,0.0,0.0,553.2,10753.7,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
1300573,STONE TREE TULUM-COTTAGE BAJA,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/5149ce6e-b8cd-454c-b971-9216e3d481c4.jpg,33,6156405,Tea,"","",true,20.2067,-87.4643,3,1,2,1.0,false,"Wifi,Carbon monoxide alarm,Patio or balcony,Air conditioning,Backyard,Pool,Kitchen,Essentials,Portable fans,Hot water,Dedicated workspace,Bed linens,Free street parking,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage",false,false,3,Moderate,MXN,30,0,31,4.1,4.5,4.7,4.3,4.8,4.4,4.2,716.0,14946.0,82.0,1634.3,0.027,0.0,2.0,40.9,0.0,0.0,10,0,355,365,0.0,0.0,96.6,1878.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
